w_idx,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class
0,720575941350274352,,,,,,ventral_nerve_cord_bilateral_interconnecting,GFC1,,,,,intrinsic,,,18B,,,,,acetylcholine,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
1,720575941351912752,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B080,,,,,intrinsic,,,16B,IN16B080,id:24879,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2,720575941352057904,,,descending_neuron,,,,DNpe054,DNpe054,id:720575940632379071,,,intrinsic,,,PSp2,,,,,acetylcholine,,,,neck_connective,left,descending
3,720575941352535088,,front_leg,chordotonal_organ_neuron,proprioception,position,front_leg_claw_chordotonal_organ_neuron,SNpp51,,,,,afferent,,,,SNpp51,id:45274,right_prothoracic_leg_nerve,,gaba,acetylcholine,,chordotonal_organ,ventral_nerve_cord,right,sensory
4,720575941352917296,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN14A015,,,,,intrinsic,,,14A,IN14A015,id:16565,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
5,720575941352918576,,,descending_neuron,,,,DNg70,DNg70,id:720575940632407826,,,intrinsic,,,MX3,DNxn180,id:11839,,Lk,gaba,,,,neck_connective,left,descending
6,720575941352919856,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN03A018,,,,,intrinsic,,,03A,IN03A018,id:14475,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
7,720575941353080624,,,descending_neuron,,,,DNge036,DNge036,id:720575940627107721,,,intrinsic,,,putative_primary,DNfl042,id:16393,,,acetylcholine,,,,neck_connective,right,descending
8,720575941353301552,front_leg,,leg_motor_neuron,leg_motor,move_coxa_posterior,front_leg_motor_neuron,sternal_posterior_rotator_miller_32,,,,,efferent,,,,,,right_prothoracic_accessory_nerve,,gaba,,,sternal_posterior_rotator_muscle,ventral_nerve_cord,right,motor
9,720575941353771056,,,descending_neuron,,,,DNge100,DNge100,id:720575940629792060,,,intrinsic,,,,DNg47,id:24892,,,acetylcholine,,,,neck_connective,left,descending
10,720575941354084144,,front_leg,chordotonal_organ_neuron,proprioception,direction,front_leg_hook_chordotonal_organ_neuron,SNpp39,,,,,afferent,,,,SNpp39,id:30692,left_prothoracic_leg_nerve,,gaba,acetylcholine,hook,chordotonal_organ,ventral_nerve_cord,left,sensory
11,720575941354124592,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN03A006,,,,,intrinsic,,,03A,IN03A006,id:11374,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
12,720575941390193156,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A043,,,,,intrinsic,,,13A,,,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
13,720575941390285462,,,descending_neuron,,,,DNg05_b,DNg05_b,id:720575940625550398,,,intrinsic,,,LB12,DNg05,id:28700,,,acetylcholine,,,,neck_connective,right,descending
14,720575941390308246,,,descending_neuron,,,,DNge118,DNge118,id:720575940623537485,,,intrinsic,,,LB7,DNut054,id:29521,,,acetylcholine,,,,neck_connective,left,descending
15,720575941390326532,,,,,,ventral_nerve_cord_bilateral_interconnecting,GFC4,,,,,intrinsic,,,11A,GFC4,id:41708,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
16,720575941390619140,,,descending_neuron,,,,DNg10,,,,,intrinsic,,,,DNg10,id:39045,,,gaba,,,,neck_connective,right,descending
17,720575941390623382,,,descending_neuron,,,,DNp20,DNp20,id:720575940644166048,,,intrinsic,DNp20,id:1745333830,putative_primary,DNp20,id:10023,,,gaba,acetylcholine,DNOVS1,,neck_connective,right,descending
18,720575941390672790,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN21A067,,,,,intrinsic,,,21A,,,,,glutamate,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
19,720575941390677654,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN07B008,,,,,intrinsic,,,07B,,,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
20,720575941390682262,,,ventral_nerve_cord_dorsal,,,ventral_nerve_cord_bilateral_interconnecting,IN11A021,,,,,intrinsic,,,11A,IN11A021,id:14151,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
21,720575941390690966,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN16B122,,,,,intrinsic,,,16B,IN16B122,id:28286,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
22,720575941390722710,,,descending_neuron,,,,DNge025,DNge025,id:720575940632303441,,,intrinsic,,,MX12,DNg12,id:32424,,,acetylcholine,,MX12_R_10,,neck_connective,right,descending
23,720575941390725270,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A049,,,,,intrinsic,,,13A,IN13A049,id:156928,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
24,720575941390728598,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A084,,,,,intrinsic,,,20A.22A,IN20A.22A084,id:30151,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
25,720575941390822404,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN09A010,,,,,intrinsic,,,09A,IN09A010,id:11766,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
26,720575941390883478,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN19A133,,,,,intrinsic,,,19A,IN19A133,id:41301,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
27,720575941391038468,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN08A030,,,,,intrinsic,,,08A,IN08A030,id:19262,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
28,720575941391207574,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN16B075,,,,,intrinsic,,,16B,IN16B075,id:20317,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
29,720575941391252630,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN12A016,,,,,intrinsic,,,12A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
30,720575941391252886,front_leg,,leg_motor_neuron,leg_motor,flex_coxa_trochanter_joint,front_leg_motor_neuron,trochanter_flexor_posterior_soma_ProAN,,,,,efferent,,,,,,right_prothoracic_accessory_nerve,,gaba,,,trochanter_flexor_muscle,ventral_nerve_cord,right,motor
31,720575941391756548,,,descending_neuron,,,,DNfl028,,,,,intrinsic,,,,DNfl028,id:26332,,,acetylcholine,,MX12_L_38,,neck_connective,left,descending
32,720575941391789060,,,,,,ventral_nerve_cord_bilateral_restricted,IN16B055,,,,,intrinsic,,,16B,IN16B055,id:22712,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
