,index,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position_nrn,w_type,sign,w_idx,pt_position_soma,surf_area_um2,motor module,step contribution,class
0,0,2035,2023-04-24 14:42:19.357167+00:00,,t,neck connective (left),BDN2,73115599907537415,648518346459693060,[31751 75200  1673],DNg100,1,0,,23069.083942,,,descending neuron
1,0,2143,2024-01-08 20:53:15.131162+00:00,,t,01A,01A,73468131427083744,648518346504284712,[41340 96096  2759],01A,1,1,[38168 90824  2634],9469.012551,,,intrinsic neuron
2,1,2144,2024-01-08 20:53:15.158995+00:00,,t,01A,01A,73186656181815355,648518346497947239,[33186 95356  2194],01A,1,2,[37696 90560  2006],3063.941793,,,intrinsic neuron
3,2,2145,2024-01-08 20:53:15.172331+00:00,,t,01A,01A,73327393938694824,648518346475560289,[38436 95894  2759],01A,1,3,[41752 83872  2221],4396.551071,,,intrinsic neuron
4,3,2151,2024-01-08 20:53:15.248424+00:00,,t,01A,01A,73397831402402673,648518346486131838,[39600 96566  2759],01A,1,4,[42744 89528  2353],11461.846836,,,intrinsic neuron
5,4,2146,2024-01-08 20:53:15.184713+00:00,,t,01A,01A,73327393938687488,648518346498391962,[38630 95759  2759],01A,1,5,[41432 92096  2530],12912.334037,,,intrinsic neuron
6,5,2147,2024-01-08 20:53:15.196869+00:00,,t,01A,01A,73397762682900714,648518346498354258,[38976 95913  2758],01A,1,6,[44336 78800  2031],2368.57077,,,intrinsic neuron
7,6,2221,2024-01-08 20:53:16.158241+00:00,,t,03A,03A,72624462142676151,648518346467000942,[ 17856 117476   2214],03A,1,7,[  9724 121984   2723],4155.158243,,,intrinsic neuron
8,7,2148,2024-01-08 20:53:15.210115+00:00,,t,01A,01A,73397831402375960,648518346491645370,[39077 96687  2759],01A,1,8,[42688 93376  2062],2715.495493,,,intrinsic neuron
9,8,2149,2024-01-08 20:53:15.223690+00:00,,t,01A,01A,73327393938634520,648518346478252013,[37616 95622  2727],01A,1,9,[40352 96136  1990],10145.226567,,,intrinsic neuron
10,9,2150,2024-01-08 20:53:15.235481+00:00,,t,01A,01A,73397831402380625,648518346514134315,[39313 96270  2759],01A,1,10,[42568 88776  2077],5346.567582,,,intrinsic neuron
11,10,2152,2024-01-08 20:53:15.260304+00:00,,t,01A,01A,73186725102833979,648518346502639783,[33830 96723  2665],01A,1,11,[42136 91664  2024],8835.425056,,,intrinsic neuron
12,11,2153,2024-01-08 20:53:15.272390+00:00,,t,01A,01A,73397762682888298,648518346481398629,[40267 95756  2759],01A,1,12,[41600 89512  2497],6666.856581,,,intrinsic neuron
13,12,2154,2024-01-08 20:53:15.284097+00:00,,t,01A,01A,73186656181788155,648518346494662888,[32903 95900  2194],01A,1,13,[32976 79208  1951],1870.618197,,,intrinsic neuron
14,13,2155,2024-01-08 20:53:15.296430+00:00,,t,01A,01A,73186656181833810,648518346515152711,[32903 95686  2194],01A,1,14,[38000 87936  1781],2457.123888,,,intrinsic neuron
15,14,2156,2024-01-08 20:53:15.308975+00:00,,t,01A,01A,73186656181819926,648518346515927626,[33036 95313  2194],01A,1,15,[35864 89640  1815],4387.590268,,,intrinsic neuron
