,bodyId,type,instance,superclass,subclass,hemilineage,size,predictedNt,predictedNtProb,consensusNt,somaSide,rootSide,motor module,step contribution,class
0,10001,DNp01,DNp01(GF)_R,descending_neuron,lt,,106999248062,acetylcholine,,acetylcholine,R,,,,descending neuron
1,10010,DNp01,DNp01(GF)_L,descending_neuron,lt,,90872400261,acetylcholine,,acetylcholine,L,,,,descending neuron
2,10026,DNp18,DNp18_R,descending_neuron,xn,,29266722725,acetylcholine,,acetylcholine,R,,,,descending neuron
3,10030,pIP1,pIP1_L,descending_neuron,xl,,24748480219,acetylcholine,,acetylcholine,L,,,,descending neuron
4,10033,DNg56,DNg56_R,descending_neuron,xn,,3444006847,gaba,,gaba,R,,,,descending neuron
5,10038,pIP1,pIP1_R,descending_neuron,xl,,23656011768,acetylcholine,,acetylcholine,R,,,,descending neuron
6,10045,DNg100,DNg100_L,descending_neuron,xl,,16688976137,acetylcholine,,acetylcholine,L,,,,descending neuron
7,10048,DNp18,DNp18_L,descending_neuron,xn,,26894917169,acetylcholine,,acetylcholine,L,,,,descending neuron
8,10054,DNpe013,DNpe013(PS168)_R,descending_neuron,xn,,4266020309,acetylcholine,,acetylcholine,R,,,,descending neuron
9,10056,DNg100,DNg100_R,descending_neuron,xl,,16542412146,acetylcholine,,acetylcholine,R,,,,descending neuron
10,10059,DNp20,DNp20_R,descending_neuron,xn,,22165787315,acetylcholine,,acetylcholine,R,,,,descending neuron
11,10063,DNp27,DNp27_R,descending_neuron,xn,,18410056149,acetylcholine,,acetylcholine,R,,,,descending neuron
12,10065,DNb05,DNb05_R,descending_neuron,xn,,15280107409,acetylcholine,,acetylcholine,R,,,,descending neuron
13,10068,DNp30,DNp30_R,descending_neuron,xn,,11393122094,glutamate,,glutamate,R,,,,descending neuron
14,10071,AN12B011,AN12B011_L,ascending_neuron,CA,,2550469315,octopamine,,gaba,L,,,,ascending neuron
15,10090,aSP22,aSP22(DNa12)_L,descending_neuron,xn,,10354405896,acetylcholine,,acetylcholine,L,,,,descending neuron
16,10091,DNpe042,DNpe042(CL262)_L,descending_neuron,lt,,4015503363,acetylcholine,,acetylcholine,L,,,,descending neuron
17,10104,aSP22,aSP22(DNa12)_R,descending_neuron,xn,,10086940179,acetylcholine,,acetylcholine,R,,,,descending neuron
18,10106,DNp11,DNp11_R,descending_neuron,xn,,19641013319,acetylcholine,,acetylcholine,R,,,,descending neuron
19,10117,DNp02,DNp02_R,descending_neuron,lt,,16676856127,acetylcholine,,acetylcholine,R,,,,descending neuron
20,10118,DNb05,DNb05_L,descending_neuron,xn,,15537294586,acetylcholine,,acetylcholine,L,,,,descending neuron
21,10123,DNg30,DNg30_L,descending_neuron,xn,,9024495340,serotonin,,serotonin,L,,,,descending neuron
22,10124,DNg105,DNg105_L,descending_neuron,xl,,14094782631,gaba,,gaba,L,,,,descending neuron
23,10131,DNg74_a,DNg74_a_R,descending_neuron,xl,,16602599756,gaba,,gaba,R,,,,descending neuron
24,10135,DNge031,DNge031_L,descending_neuron,,,5268943871,gaba,,gaba,L,,,,descending neuron
25,10141,DNg15,DNg15_L,descending_neuron,xn,,18387696230,acetylcholine,,acetylcholine,L,,,,descending neuron
