,Unnamed: 0,bodyId,type,class,subclass,hemilineage,size,predictedNt,predictedNtProb,somaSide,motor module,step contribution
0,0,10000,DNp01,descending neuron,lt,,38743961712,acetylcholine,0.514211965616834,,,
1,1,10002,DNp01,descending neuron,lt,,39414880927,acetylcholine,0.4596285193498892,,,
2,2,10010,IN07B001,intrinsic neuron,BI,07B,13014023633,acetylcholine,0.9399649956537602,LHS,,
3,3,10012,DNp18,descending neuron,xn,,11298761013,acetylcholine,0.8552566718064015,,,
4,4,10016,AN19B001,ascending neuron,BA,19B,11932392103,acetylcholine,0.9192541771677122,LHS,,
5,5,10018,IN07B001,intrinsic neuron,BI,07B,12151149374,acetylcholine,0.9314760962588052,RHS,,
6,6,10019,IN14A005,intrinsic neuron,BR,14A,1421170961,glutamate,0.9238135618351644,RHS,,
7,7,10021,DNp18,descending neuron,xn,,10059881496,acetylcholine,0.8156769872139671,,,
8,8,10022,AN27X001,ascending neuron,BA,27X,8931792794,gaba,0.4759538882115939,RHS,,
9,9,10023,DNp20,descending neuron,xn,,8826433455,glutamate,0.3727258043860545,,,
10,10,10024,IN04B027,intrinsic neuron,BR,04B,832590779,acetylcholine,0.9272884630674022,LHS,,
11,11,10025,IN12B003,intrinsic neuron,BI,12B,7118911031,gaba,0.9027278418529794,LHS,,
12,12,10031,,intrinsic neuron,BI,TBD,8954814057,gaba,0.8795026915648266,RHS,,
13,13,10039,IN01A007,intrinsic neuron,CI,01A,2344887929,acetylcholine,0.7317575295219977,RHS,,
14,14,10052,,ascending neuron,BA,TBD,9696995258,gaba,0.8214159645665048,RHS,,
15,15,10053,,intrinsic neuron,BI,TBD,8615976452,gaba,0.8865564718182501,LHS,,
16,16,10056,AN27X001,ascending neuron,BA,27X,9371355727,gaba,0.4687187215547517,LHS,,
17,17,10058,DNxl048,descending neuron,xl,,7567428929,gaba,0.7488880832128948,,,
18,18,10059,,intrinsic neuron,BI,TBD,7833374489,gaba,0.8719554367370386,RHS,,
19,19,10060,IN16B003,intrinsic neuron,BR,16B,2084025643,glutamate,0.8622360275236115,LHS,,
20,20,10061,DNxl053,descending neuron,xl,,6948733971,acetylcholine,0.9150179084355234,,,
21,21,10063,AN19B001,ascending neuron,BA,19B,10943758374,acetylcholine,0.883122268791894,RHS,,
22,22,10065,,intrinsic neuron,BI,TBD,7885747975,gaba,0.8687721162079551,LHS,,
23,23,10066,,intrinsic neuron,BI,TBD,5534255087,gaba,0.8117230111462425,RHS,,
24,24,10070,IN12B003,intrinsic neuron,BI,12B,7657446084,gaba,0.9010709742649337,RHS,,
25,25,10083,IN27X001,intrinsic neuron,BI,27X,7722652998,gaba,0.5960081860695362,RHS,,
26,26,10084,IN01A001,intrinsic neuron,BI,01A,6889022429,acetylcholine,0.9152454377682332,RHS,,
27,27,10086,DNxl055,descending neuron,xl,,7089011948,gaba,0.9014056869247716,,,
28,28,10089,,intrinsic neuron,BI,TBD,7034002420,acetylcholine,0.9328618816319904,LHS,,
29,29,10090,IN07B002,intrinsic neuron,BI,07B,6409353415,acetylcholine,0.6856565612013998,RHS,,
30,30,10091,,intrinsic neuron,BI,TBD,7057392580,acetylcholine,0.9081155293493433,RHS,,
31,31,10093,DNxl058,descending neuron,xl,,7124816452,acetylcholine,0.9575194719223212,,,
32,32,10095,DNxl055,descending neuron,xl,,6875260186,gaba,0.8923010490803894,,,
33,33,10096,IN27X001,intrinsic neuron,BI,27X,7077486284,gaba,0.5406875948575613,RHS,,
34,34,10097,DNxl080,descending neuron,xl,,6270115289,gaba,0.9310596123617588,,,
35,35,10098,AN02A001,ascending neuron,BA,02A,9286866285,glutamate,0.9449859822212088,LHS,,
36,36,10099,IN10B001,intrinsic neuron,BI,10B,6874643711,acetylcholine,0.9555604021159207,RHS,,
37,37,10101,DNg15,descending neuron,xn,,6755012412,acetylcholine,0.7180117954886991,,,
38,38,10102,,ascending neuron,BA,TBD,9115741169,gaba,0.7824704412251474,LHS,,
39,39,10103,DNxl041,descending neuron,xl,,6784050203,gaba,0.9120744190774486,,,
40,40,10107,DNxl041,descending neuron,xl,,6774685563,gaba,0.9551556451169556,,,
41,41,10111,DNxl053,descending neuron,xl,,6694265986,acetylcholine,0.9131433821698592,,,
42,42,10112,AN19B001,ascending neuron,BA,19B,7710962732,acetylcholine,0.8135410894232046,RHS,,
43,43,10113,DNp11,descending neuron,xn,,6693768356,acetylcholine,0.866542847816713,,,
44,44,10114,IN27X001,intrinsic neuron,BI,27X,7368567430,gaba,0.5714880756617445,LHS,,
45,45,10117,DNxl080,descending neuron,xl,,6650476975,gaba,0.9094358449896084,,,
46,46,10118,DNa02,descending neuron,xl,,6179155956,acetylcholine,0.8704740740456698,,,
47,47,10119,IN27X001,intrinsic neuron,BI,27X,7372364247,gaba,0.5700607803521065,LHS,,
48,48,10121,DNg15,descending neuron,xn,,6557652533,acetylcholine,0.812194594988729,,,
49,49,10122,DNp11,descending neuron,xn,,6234312364,acetylcholine,0.8524759419330478,,,
50,50,10124,IN13B009,intrinsic neuron,CR,13B,2108584320,glutamate,0.5288371390516708,RHS,,
51,51,10126,DNa02,descending neuron,xl,,6459395030,acetylcholine,0.8850437029287532,,,
52,52,10136,IN12B003,intrinsic neuron,BI,12B,6134429547,gaba,0.9200947131734812,LHS,,
53,53,10137,AN02A001,ascending neuron,BA,02A,9049926426,glutamate,0.9564406995146356,RHS,,
54,54,10138,DNg16,descending neuron,xl,,5772811572,acetylcholine,0.9120277296749216,,,
55,55,10141,IN12B003,intrinsic neuron,BI,12B,6113185812,gaba,0.9256931133194428,RHS,,
56,56,10152,IN01A001,intrinsic neuron,BI,01A,6570701378,acetylcholine,0.9239867911921584,LHS,,
57,57,10154,IN19A008,intrinsic neuron,IR,19A,6047603151,gaba,0.7297456483474153,RHS,,
58,58,10157,DNp02,descending neuron,lt,,4422509164,acetylcholine,0.8369423528709324,,,
59,59,10163,AN23B001,ascending neuron,BA,23B,3296748513,acetylcholine,0.9477078344482026,LHS,,
60,60,10165,AN18B001,ascending neuron,BA,18B,5769611266,acetylcholine,0.9648694164660384,RHS,,
61,61,10166,IN07B001,intrinsic neuron,BI,07B,6413853983,acetylcholine,0.7926133489242856,RHS,,
62,62,10179,AN04B001,ascending neuron,IA,04B,5912846764,acetylcholine,0.8861600772209679,RHS,,
63,63,10182,AN19B001,ascending neuron,BA,19B,8783657880,acetylcholine,0.8676944009120833,LHS,,
64,64,10185,IN13A002,intrinsic neuron,IR,13A,3899298432,gaba,0.5104019775710581,LHS,,
65,65,10192,IN19A008,intrinsic neuron,IR,19A,5686084011,gaba,0.7946125674700697,LHS,,
66,66,10193,IN02A002,intrinsic neuron,II,02A,5460109647,glutamate,0.9457205378015752,LHS,,
67,67,10194,DNd02,descending neuron,xl,,4138060969,glutamate,0.726903884764328,,,
68,68,10196,IN19A002,intrinsic neuron,IR,19A,5503265402,gaba,0.8273349094307181,LHS,,
69,69,10197,IN27X002,intrinsic neuron,BI,27X,6079240679,glutamate,0.3648794862435986,LHS,,
70,70,10199,IN19A003,intrinsic neuron,IR,19A,5572419521,gaba,0.7133600247000003,LHS,,
71,71,10202,IN23B001,intrinsic neuron,BI,23B,6716418452,acetylcholine,0.6807400375137485,RHS,,
72,72,10205,AN19B004,ascending neuron,BA,19B,6090735741,acetylcholine,0.7893985591988099,LHS,,
73,73,10209,IN02A002,intrinsic neuron,II,02A,5329759343,glutamate,0.9384387731223052,RHS,,
74,74,10210,DNg34,descending neuron,xl,,5540794180,gaba,0.5854416607260244,,,
75,75,10211,AN04B001,ascending neuron,IA,04B,5873216874,acetylcholine,0.9114324612433752,LHS,,
76,76,10213,IN19A002,intrinsic neuron,IR,19A,5742390194,gaba,0.7828769132472987,RHS,,
77,77,10217,DNg34,descending neuron,xl,,5438582031,gaba,0.5711410736877252,,,
78,78,10220,IN19B003,intrinsic neuron,BR,19B,5816170920,acetylcholine,0.9279530791885042,RHS,,
79,79,10222,,intrinsic neuron,BI,TBD,7070982788,glutamate,0.369226704337352,LHS,,
80,80,10228,IN18B008,intrinsic neuron,BI,18B,2862800308,glutamate,0.5577539713789034,RHS,,
81,81,10230,IN13A003,intrinsic neuron,IR,13A,3008534529,glutamate,0.6553709509884262,RHS,,
82,82,10232,AN19B004,ascending neuron,BA,19B,5865178124,acetylcholine,0.8485598336060409,RHS,,
83,83,10235,IN13A003,intrinsic neuron,IR,13A,6188417342,gaba,0.6401179373306624,RHS,,
84,84,10237,IN19A001,intrinsic neuron,BI,19A,5111335032,acetylcholine,0.9723201222779184,RHS,,
85,85,10240,DNxl048,descending neuron,xl,,7368070460,gaba,0.7204085165084111,,,
86,86,10242,IN19A002,intrinsic neuron,IR,19A,5285900194,gaba,0.6913915755172813,LHS,,
87,87,10245,AN12B004,ascending neuron,BA,12B,5031204479,gaba,0.8171782790400313,LHS,,
88,88,10247,SNppxx,sensory neuron,metathoracic leg TrCS,,1769673254,acetylcholine,0.445284736954514,,,
89,89,10255,DNg16,descending neuron,xl,,4926058645,acetylcholine,0.8739767417283172,,,
90,90,10256,IN19A001,intrinsic neuron,IR,19A,5255785573,gaba,0.8712225698040564,LHS,,
91,91,10257,AN06B001,ascending neuron,BA,06B,4677869152,gaba,0.8297902289203477,LHS,,
92,92,10259,IN19A004,intrinsic neuron,IR,19A,5185591039,gaba,0.8064433761061082,RHS,,
93,93,10264,IN07B002,intrinsic neuron,BI,07B,5821154606,acetylcholine,0.5673444566397761,LHS,,
94,94,10268,IN13B001,intrinsic neuron,CR,13B,4912002621,gaba,0.8527410454522031,LHS,,
95,95,10269,DNut040,descending neuron,ut,,4862048476,acetylcholine,0.8356286367808197,,,
96,96,10273,IN00A002,intrinsic neuron,BI,00A,4959574672,gaba,0.9108785311348484,Midline,,
97,97,10274,IN15A001,intrinsic neuron,IR,15A,4931408082,acetylcholine,0.8153944203401366,RHS,,
98,98,10276,IN12A001,intrinsic neuron,BI,12A,4893889481,acetylcholine,0.9284448973873376,RHS,,
99,99,10279,DNxl049,descending neuron,xl,,4886295190,acetylcholine,0.9269414853979506,,,
100,100,10280,IN09A001,intrinsic neuron,BR,09A,4812450037,gaba,0.8635028023245689,LHS,,
101,101,10281,,intrinsic neuron,BI,TBD,4577165162,glutamate,0.5334738309624397,RHS,,
102,102,10282,AN19A009,ascending neuron,BA,19A,5513056944,acetylcholine,0.9043301707736,LHS,,
103,103,10283,,intrinsic neuron,BI,TBD,4921249351,gaba,0.8459465079514873,LHS,,
104,104,10284,DNut040,descending neuron,ut,,4813758539,acetylcholine,0.8347445532341174,,,
105,105,10286,,intrinsic neuron,BI,TBD,4631454545,glutamate,0.5218715019445116,LHS,,
106,106,10291,DNxl134,descending neuron,xl,,4807140046,acetylcholine,0.9349219616644536,,,
107,107,10293,IN09A001,intrinsic neuron,BR,09A,5018322923,gaba,0.8347562822302996,RHS,,
108,108,10294,AN07B022,ascending neuron,BA,07B,4761005993,acetylcholine,0.8717052941452438,RHS,,
109,109,10295,AN07B004,ascending neuron,BA,07B,4822660153,acetylcholine,0.945588021147818,LHS,,
110,110,10297,IN07B005,intrinsic neuron,BI,07B,4626012009,acetylcholine,0.8070264296565168,RHS,,
111,111,10298,IN07B002,intrinsic neuron,BI,07B,5149900001,acetylcholine,0.7823489175220282,RHS,,
112,112,10299,,intrinsic neuron,BI,TBD,3095075334,acetylcholine,0.8771925869416408,LHS,,
113,113,10303,IN01A002,intrinsic neuron,BI,01A,4809731453,acetylcholine,0.945330912310904,RHS,,
114,114,10306,IN07B006,intrinsic neuron,BI,07B,3870436738,glutamate,0.9425693409006954,RHS,,
115,115,10307,DNb05,descending neuron,xn,,4721053202,acetylcholine,0.9311922367767128,,,
