,Unnamed: 0,bodyId,type,class,subclass,hemilineage,size,predictedNt,predictedNtProb,ntAcetylcholineProb,ntGabaProb,ntGlutamateProb,somaSide,motor module,step contribution
0,0,10000,DNp01,descending neuron,lt,,38743961712,acetylcholine,0.5142119526863098,0.5142119526863098,0.1707151234149933,0.217547133564949,,,
1,1,10002,DNp01,descending neuron,lt,,39414880927,acetylcholine,0.4596285223960876,0.4596285223960876,0.1434814184904098,0.2562304139137268,,,
2,2,10010,IN07B001,intrinsic neuron,BI,07B,13014023633,acetylcholine,0.939965009689331,0.9403931498527528,0.0129894260317087,0.0428361929953098,LHS,,
3,3,10012,DNp18,descending neuron,xn,,11298761013,acetylcholine,0.8552566766738892,0.8552566766738892,0.0419239997863769,0.097816064953804,,,
4,4,10016,AN19B001,ascending neuron,BA,19B,11932392103,acetylcholine,0.919254183769226,0.9200132489204408,0.0164795219898223,0.0592845864593982,LHS,,
5,5,10018,IN07B001,intrinsic neuron,BI,07B,12151149374,acetylcholine,0.93147611618042,0.93147611618042,0.0171850994229316,0.0471343100070953,RHS,,
6,6,10019,IN14A012,intrinsic neuron,BR,14A,1421170961,glutamate,0.9238135814666748,0.0213198848068714,0.0534799508750438,0.9238135814666748,RHS,,
7,7,10021,DNp18,descending neuron,xn,,10059881496,acetylcholine,0.8156769871711731,0.8156769871711731,0.0448549054563045,0.1349522471427917,,,
8,8,10022,vMS16,ascending neuron,BA,27X,8931792794,gaba,0.4759538769721985,0.288693755865097,0.4759538769721985,0.1959781646728515,RHS,,
9,9,10023,DNp20,descending neuron,xn,,8826433455,glutamate,0.3727258145809173,0.2689374387264251,0.2682050764560699,0.3727258145809173,,,
10,10,10024,IN04B041,intrinsic neuron,BR,04B,832590779,acetylcholine,0.9272884726524352,0.9272884726524352,0.007754704914987,0.0600415877997875,LHS,,
11,11,10025,IN12B002,intrinsic neuron,BI,12B,7118911031,gaba,0.9027278423309326,0.0036932891234755,0.9030417203903198,0.090526133775711,LHS,,
12,12,10031,IN06B001,intrinsic neuron,BI,06B,8954814057,gaba,0.8795027136802673,0.0055097038857638,0.8796746134757996,0.1085668429732322,RHS,,
13,13,10039,IN01A007,intrinsic neuron,CI,01A,2344887929,acetylcholine,0.7317575216293335,0.7323064208030701,0.0790741667151451,0.1770576536655426,RHS,,
14,14,10052,ANXXX002,ascending neuron,BA,TBD,9696995258,gaba,0.8214159607887268,0.0051956409588456,0.8214159607887268,0.1703768819570541,RHS,,
15,15,10053,IN06B001,intrinsic neuron,BI,06B,8615976452,gaba,0.8865564465522766,0.0066933096386492,0.8871524333953857,0.101224660873413,LHS,,
16,16,10056,vMS16,ascending neuron,BA,27X,9371355727,gaba,0.4687187075614929,0.3047465682029724,0.4687187075614929,0.1867400258779525,LHS,,
17,17,10058,DNg108,descending neuron,xl,,7567428929,gaba,0.7488880753517151,0.005010915454477,0.7488880753517151,0.243154227733612,,,
18,18,10059,INXXX003,intrinsic neuron,BI,TBD,7833374489,gaba,0.8719554543495178,0.0045370352454483,0.8721455335617065,0.1199875473976135,RHS,,
19,19,10060,IN16B020,intrinsic neuron,BR,16B,2084025643,glutamate,0.8622360229492188,0.0190030559897422,0.1147432252764701,0.8622360229492188,LHS,,
20,20,10061,DNxl053,descending neuron,xl,,6948733971,acetylcholine,0.9150179028511048,0.9150179028511048,0.0211731307208538,0.0612965375185012,,,
21,21,10063,AN19B001,ascending neuron,BA,19B,10943758374,acetylcholine,0.8831222653388977,0.8837518692016602,0.0243565943092107,0.0871950834989547,RHS,,
22,22,10065,INXXX003,intrinsic neuron,BI,TBD,7885747975,gaba,0.8687720894813538,0.0035035237669944,0.869053065776825,0.1236270144581794,LHS,,
23,23,10066,IN05B003,intrinsic neuron,BI,05B,5534255087,gaba,0.811722993850708,0.0098438402637839,0.811722993850708,0.1754268109798431,RHS,,
24,24,10070,IN12B002,intrinsic neuron,BI,12B,7657446084,gaba,0.9010709524154664,0.0029714235570281,0.9010709524154664,0.092935211956501,RHS,,
25,25,10083,vMS17,intrinsic neuron,BI,27X,7722652998,gaba,0.5960081815719604,0.2332309037446975,0.5960081815719604,0.1252008378505706,RHS,,
26,26,10084,IN01A001,intrinsic neuron,BI,01A,6889022429,acetylcholine,0.9152454137802124,0.916157066822052,0.0162708014249801,0.0614091195166111,RHS,,
27,27,10086,DNg105,descending neuron,xl,,7089011948,gaba,0.9014056921005248,0.0120129166170954,0.9014056921005248,0.0835998952388763,,,
28,28,10089,IN08B001,intrinsic neuron,BI,08B,7034002420,acetylcholine,0.932861864566803,0.932861864566803,0.0138869173824787,0.0507330410182476,LHS,,
29,29,10090,IN07B002,intrinsic neuron,BI,07B,6409353415,acetylcholine,0.6856565475463867,0.6862099766731262,0.0765081197023391,0.2210798412561416,RHS,,
30,30,10091,IN08B001,intrinsic neuron,BI,08B,7057392580,acetylcholine,0.9081155061721802,0.9081155061721802,0.0291049759835004,0.0585110187530517,RHS,,
31,31,10093,DNg100,descending neuron,xl,,7124816452,acetylcholine,0.9575194716453552,0.9575194716453552,0.0138680161908268,0.0258214343339204,,,
32,32,10095,DNg105,descending neuron,xl,,6875260186,gaba,0.8923010230064392,0.0081567345187067,0.8923010230064392,0.0936223417520523,,,
33,33,10096,IN27X002,intrinsic neuron,BI,27X,7077486284,gaba,0.540687620639801,0.2228342890739441,0.540687620639801,0.1843061596155166,RHS,,
34,34,10097,DNxl080,descending neuron,xl,,6270115289,gaba,0.9310595989227296,0.0071173240430653,0.9310595989227296,0.0569547899067401,,,
35,35,10098,AN02A001,ascending neuron,BA,02A,9286866285,glutamate,0.9449859857559204,0.0197627507150173,0.0331049598753452,0.9455118775367736,LHS,,
36,36,10099,IN10B001,intrinsic neuron,BI,10B,6874643711,acetylcholine,0.9555603861808776,0.9555603861808776,0.0069683729670941,0.0339165404438972,RHS,,
37,37,10101,DNg15,descending neuron,xn,,6755012412,acetylcholine,0.7180117964744568,0.7180117964744568,0.0466017425060272,0.223964661359787,,,
38,38,10102,ANXXX002,ascending neuron,BA,TBD,9115741169,gaba,0.7824704647064209,0.0041633592918515,0.782762885093689,0.208806574344635,LHS,,
39,39,10103,DNg74,descending neuron,xl,,6784050203,gaba,0.9120744466781616,0.0027757291682064,0.9120744466781616,0.0815306901931762,,,
40,40,10107,DNg74,descending neuron,xl,,6774685563,gaba,0.9551556706428528,0.002018233994022,0.9551556706428528,0.0409526117146015,,,
41,41,10111,DNxl053,descending neuron,xl,,6694265986,acetylcholine,0.9131433963775636,0.9131433963775636,0.0122848497703671,0.0695684105157852,,,
42,42,10112,AN19B001,ascending neuron,BA,19B,7710962732,acetylcholine,0.8135411143302917,0.8135411143302917,0.0415711291134357,0.1368281692266464,RHS,,
43,43,10113,DNp11,descending neuron,xn,,6693768356,acetylcholine,0.8665428757667542,0.8665428757667542,0.0340480282902717,0.0891893953084945,,,
44,44,10114,vMS17,intrinsic neuron,BI,27X,7368567430,gaba,0.571488082408905,0.2331100851297378,0.571488082408905,0.1531991511583328,LHS,,
45,45,10117,DNxl080,descending neuron,xl,,6650476975,gaba,0.9094358682632446,0.0078032258898019,0.9094358682632446,0.0748115330934524,,,
46,46,10118,DNa02,descending neuron,xl,,6179155956,acetylcholine,0.870474100112915,0.870474100112915,0.0225287098437547,0.1002387106418609,,,
47,47,10119,IN27X002,intrinsic neuron,BI,27X,7372364247,gaba,0.5700607895851135,0.2233380526304245,0.5700607895851135,0.1557759940624237,LHS,,
48,48,10121,DNg15,descending neuron,xn,,6557652533,acetylcholine,0.8121945858001709,0.8121945858001709,0.029727067798376,0.1533148288726806,,,
49,49,10122,DNp11,descending neuron,xn,,6234312364,acetylcholine,0.8524759411811829,0.8524759411811829,0.0452463589608669,0.0907537788152694,,,
50,50,10124,IN13B006,intrinsic neuron,CR,13B,2108584320,glutamate,0.5288371443748474,0.0424134321510791,0.3966606259346008,0.5289124250411987,RHS,,
51,51,10126,DNa02,descending neuron,xl,,6459395030,acetylcholine,0.8850436806678772,0.8850436806678772,0.0205432679504156,0.0902571305632591,,,
52,52,10136,IN12B002,intrinsic neuron,BI,12B,6134429547,gaba,0.9200947284698486,0.0030561094172298,0.9200947284698486,0.074450634419918,LHS,,
53,53,10137,AN02A001,ascending neuron,BA,02A,9049926426,glutamate,0.9564406871795654,0.017968401312828,0.0230828337371349,0.956838607788086,RHS,,
54,54,10138,DNg16,descending neuron,xl,,5772811572,acetylcholine,0.9120277166366576,0.9120277166366576,0.0126873534172773,0.0715110972523689,,,
55,55,10141,IN12B002,intrinsic neuron,BI,12B,6113185812,gaba,0.9256930947303772,0.002789614489302,0.925716996192932,0.0693313479423523,RHS,,
56,56,10152,IN01A001,intrinsic neuron,BI,01A,6570701378,acetylcholine,0.923986792564392,0.923986792564392,0.0110734505578875,0.0606117844581604,LHS,,
57,57,10154,IN19A003,intrinsic neuron,IR,19A,6047603151,gaba,0.729745626449585,0.01273800060153,0.7301874160766602,0.2437027990818023,RHS,,
58,58,10157,DNp02,descending neuron,lt,,4422509164,acetylcholine,0.8369423747062683,0.8369423747062683,0.0354512073099613,0.1122327670454979,,,
59,59,10163,AN23B003,ascending neuron,BA,23B,3296748513,acetylcholine,0.9477078318595886,0.9477078318595886,0.0097033018246293,0.0401076711714267,LHS,,
60,60,10165,AN18B001,ascending neuron,BA,18B,5769611266,acetylcholine,0.9648694396018982,0.9659079909324646,0.0059257154352962,0.0251315794885158,RHS,,
61,61,10166,IN07B001,intrinsic neuron,BI,07B,6413853983,acetylcholine,0.7926133275032043,0.7926133275032043,0.0745046660304069,0.1237455382943153,RHS,,
62,62,10179,AN04B001,ascending neuron,IA,04B,5912846764,acetylcholine,0.8861600756645203,0.8861600756645203,0.0338091738522052,0.0756102353334426,RHS,,
63,63,10182,AN19B001,ascending neuron,BA,19B,8783657880,acetylcholine,0.8676943778991699,0.8678339123725891,0.0254371520131826,0.102243423461914,LHS,,
64,64,10185,IN13A003,intrinsic neuron,IR,13A,3899298432,glutamate,0.5104019641876221,0.0036393366754055,0.5104019641876221,0.4789603650569916,LHS,,
65,65,10192,IN19A003,intrinsic neuron,IR,19A,5686084011,gaba,0.7946125864982605,0.0123315025120973,0.7951136827468872,0.1886849701404571,LHS,,
66,66,10193,IN02A003,intrinsic neuron,II,02A,5460109647,glutamate,0.9457205533981324,0.0309677012264728,0.0198911242187023,0.9457205533981324,LHS,,
67,67,10194,DNd02,descending neuron,xl,,4138060969,glutamate,0.7269038558006287,0.1177407056093216,0.1381864100694656,0.7269038558006287,,,
68,68,10196,IN19A001,intrinsic neuron,IR,19A,5503265402,gaba,0.8273348808288574,0.0064285569824278,0.8279613256454468,0.1634236127138137,LHS,,
