,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109213002026081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793989971280098,0.0,0.0,0.0,0.0,0.1299760043621063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286299973726272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368129968643188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250669956207275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124784708023071,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313849687576294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669359922409057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0831553414463996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889332056045532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913400411605836,0.0300278980284929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073176734149456,0.0,0.9905712604522704,0.0,0.1050732880830764,0.1847508996725082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164416790008545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8977932333946228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016057727625593,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4070579707622528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6472887992858887,0.0,0.0,0.0,0.0,0.0,0.5826327800750732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980840086936952,0.8248042464256287,0.9664027094841005,0.9943203330039978,0.999413013458252,0.9812127351760864,0.8273230195045471,0.8994190096855164,0.999224066734314,0.9989305138587952,0.9975579977035522,0.9950439929962158,0.997991979122162,0.9989623427391052,0.998870015144348,0.9974233508110046,0.9944859743118286,0.8788310289382935,0.9989944696426392,0.9983299970626832,0.998092532157898,0.99603533744812,0.9993770122528076,0.9989174604415894,0.9611923098564148,0.9998953342437744,0.9983019828796388,0.9993513822555542,0.9990434646606444,0.9975646734237672,0.9981040358543396,1.0,0.9965966939926147,0.999670684337616,0.9973649978637696,0.9963779449462892,0.9649092555046082,0.8855166435241699,0.9367510676383972,0.999174952507019,0.9981589317321776,0.9401260018348694,0.9981535077095032,0.9116649627685548,0.9289026260375975,0.999240517616272,0.8999490141868591,0.9419684410095216,0.9995653033256532,0.9984560012817384,0.9757300615310668,0.0,0.94709974527359,0.9993463754653932,0.9977146983146667,0.9978833198547364,0.8197623491287231,0.9990323781967164,0.9983839988708496,0.9965595006942748,0.9982784986495972,0.9967384934425354,0.9956846237182616,0.9272463321685792,0.9952659606933594,0.9993610382080078,0.99696147441864,0.9049479961395264,0.9014257192611694,0.9991559982299804,0.9561769962310792,0.9922119975090028,0.9974946975708008,0.994809627532959,0.9989360570907592,0.9362075328826904,0.9605447053909302,0.9981870055198668,0.9657149314880372,0.8358023166656494,0.9995683431625366,0.9965883493423462,0.9999589920043944,0.999619483947754,0.997746467590332,0.9986290335655212,0.997077703475952,0.8586845397949219,0.9969824552536012,0.9569262266159058,0.8732540011405945,0.9989223480224608,0.9965890049934388,0.9999409914016724,0.9986225366592408,0.9999470114707948,0.9218029975891112,0.9993829727172852,0.9929683208465576,0.9949080348014832,0.9996923804283142,0.9164892435073853,0.9012420773506165,0.9502593874931335,0.9979305267333984,0.9954376220703124,0.998826026916504,0.959194004535675,0.9078397750854492,0.9944944977760316,1.0,0.9946759939193726
37,0.0,0.9422168135643004,0.8923963904380798,0.6450385451316833,0.0,0.0,0.0,0.8463804125785828,0.7384487986564636,0.0,0.7743068337440491,0.7545456290245056,0.7664589285850525,0.8583853840827942,0.9209429025650024,0.0,0.0,0.8848947286605835,0.8270506262779236,0.637872576713562,0.0,0.8922458291053772,0.6689580082893372,0.8622997403144836,0.8250782489776611,0.7274527549743652,0.8200487494468689,0.872468888759613,0.886827290058136,0.7925671339035034,0.8979554772377014,0.5998024940490723,0.4848420619964599,0.8671658635139465,0.8222357034683228,0.0,0.6272224187850952,0.7625187039375305,0.8596068024635315,0.6709737777709961,0.764407217502594,0.8951161503791809,0.0,0.6351780295372009,0.776494562625885,0.7706410884857178,0.9497604966163636,0.3086295425891876,0.0,0.6544345021247864,0.8274705410003662,0.7698872685432434,0.0,0.8964554667472839,0.8973151445388794,0.7123647928237915,0.777102530002594,0.8560412526130676,0.0,0.6152296662330627,0.529392659664154,0.7193207740783691,0.0,0.8081763982772827,0.7972569465637207,0.6334824562072754,0.5584395527839661,0.0,0.5726108551025391,0.8201768398284912,0.6082978248596191,0.9224810600280762,0.8704125881195068,0.7953871488571167,0.6894052028656006,0.0,0.6889115571975708,0.896416962146759,0.6771508455276489,0.6923012137413025,0.7779459953308105,0.8292744159698486,0.7812670469284058,0.9216688871383668,0.7689423561096191,0.7664158940315247,0.0,0.0,0.8862350583076477,0.7670729160308838,0.7669792771339417,0.6971776485443115,0.0,0.0,0.6333364844322205,0.0,0.6933159828186035,0.0,0.7567644119262695,0.0,0.0,0.8249834179878235,0.5743169784545898,0.7688982486724854,0.7983168959617615,0.9044228196144104,0.8879806399345398,0.8776347637176514,0.5191092491149902,0.7379128932952881,0.0,0.0,0.6696387529373169,0.6597775816917419,0.6918135285377502,0.8079476356506348,0.8044422268867493,0.7545135021209717,0.8717240691184998,0.0,0.6742157340049744,0.8473743796348572,0.0,0.0,0.7395500540733337,0.8944764733314514,0.0,0.799514889717102
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224171690642833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3871503472328186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304931998252868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
