,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,30.0,7.0,20.0,6.0,25.0,5.0,28.0,6.0,8.0,5.0,6.0,25.0,6.0,20.0,31.0,6.0
1,19.0,18.0,13.0,16.0,18.0,17.0,15.0,16.0,29.0,17.0,17.0,18.0,15.0,17.0,18.0,15.0
3,9.0,9.0,9.0,5.0,10.0,51.0,5.0,59.0,70.0,79.0,5.0,65.0,577.0,61.0,10.0,6.0
7,9.0,24.0,22.0,24.0,16.0,17.0,16.0,15.0,19.0,21.0,14.0,17.0,16.0,16.0,15.0,16.0
20,13.0,15.0,11.0,15.0,5.0,14.0,12.0,21.0,12.0,5.0,17.0,15.0,11.0,9.0,13.0,14.0
31,98.0,115.0,97.0,109.0,109.0,107.0,106.0,74.0,90.0,98.0,94.0,76.0,103.0,88.0,92.0,79.0
37,480.0,475.0,525.0,458.0,336.0,459.0,388.0,5.0,523.0,464.0,5.0,5.0,443.0,415.0,5.0,437.0
41,14.0,7.0,18.0,12.0,7.0,8.0,7.0,16.0,12.0,5.0,16.0,9.0,10.0,10.0,7.0,10.0
43,17.0,5.0,5.0,19.0,22.0,18.0,21.0,18.0,18.0,19.0,18.0,19.0,19.0,18.0,20.0,20.0
46,18.0,12.0,9.0,18.0,12.0,12.0,21.0,18.0,14.0,9.0,15.0,16.0,17.0,17.0,14.0,16.0
48,313.0,8.0,219.0,233.0,9.0,267.0,5.0,255.0,188.0,7.0,8.0,20.0,293.0,338.0,23.0,7.0
49,7.0,7.0,7.0,6.0,7.0,9.0,7.0,9.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0
51,11.0,6.0,12.0,13.0,18.0,9.0,6.0,7.0,6.0,11.0,19.0,18.0,11.0,10.0,11.0,10.0
54,12.0,17.0,14.0,12.0,16.0,15.0,23.0,17.0,12.0,18.0,16.0,13.0,19.0,19.0,14.0,14.0
58,18.0,19.0,24.0,18.0,16.0,17.0,20.0,19.0,19.0,20.0,19.0,19.0,20.0,18.0,26.0,23.0
89,31.0,71.0,35.0,67.0,42.0,25.0,21.0,38.0,36.0,32.0,29.0,29.0,23.0,26.0,51.0,34.0
95,92.0,11.0,56.0,56.0,88.0,76.0,42.0,30.0,16.0,80.0,60.0,86.0,91.0,15.0,12.0,56.0
99,5.0,5.0,5.0,5.0,5.0,13.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
104,83.0,11.0,59.0,45.0,8.0,50.0,47.0,14.0,9.0,72.0,50.0,32.0,59.0,56.0,98.0,14.0
106,46.0,55.0,14.0,50.0,51.0,56.0,48.0,53.0,54.0,49.0,46.0,44.0,49.0,46.0,52.0,52.0
115,16.0,11.0,15.0,17.0,26.0,12.0,18.0,13.0,14.0,13.0,11.0,16.0,18.0,12.0,15.0,16.0
118,10.0,11.0,11.0,12.0,11.0,21.0,15.0,17.0,14.0,11.0,9.0,16.0,20.0,17.0,13.0,11.0
123,13.0,14.0,9.0,12.0,12.0,12.0,11.0,12.0,14.0,13.0,7.0,11.0,12.0,13.0,9.0,12.0
126,12.0,18.0,13.0,19.0,8.0,18.0,25.0,11.0,16.0,10.0,18.0,11.0,14.0,10.0,10.0,19.0
132,102.0,153.0,89.0,138.0,93.0,104.0,112.0,69.0,72.0,72.0,82.0,104.0,105.0,82.0,107.0,83.0
170,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0
173,5.0,5.0,10.0,7.0,6.0,5.0,7.0,6.0,10.0,10.0,7.0,7.0,6.0,7.0,11.0,10.0
186,30.0,34.0,36.0,32.0,36.0,33.0,37.0,34.0,34.0,32.0,33.0,31.0,34.0,34.0,34.0,35.0
191,34.0,34.0,34.0,31.0,35.0,37.0,31.0,39.0,34.0,32.0,28.0,33.0,31.0,35.0,37.0,33.0
202,5.0,6.0,5.0,6.0,5.0,5.0,8.0,5.0,5.0,6.0,8.0,7.0,9.0,9.0,8.0,6.0
211,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0
213,17.0,18.0,26.0,450.0,10.0,495.0,464.0,15.0,440.0,474.0,24.0,18.0,11.0,17.0,491.0,21.0
224,19.0,25.0,27.0,33.0,23.0,26.0,29.0,27.0,27.0,25.0,22.0,27.0,21.0,25.0,32.0,20.0
248,5.0,9.0,5.0,5.0,5.0,5.0,9.0,9.0,5.0,5.0,5.0,9.0,5.0,5.0,9.0,5.0
250,24.0,42.0,55.0,28.0,40.0,53.0,46.0,22.0,18.0,26.0,39.0,31.0,39.0,22.0,14.0,27.0
253,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0
254,31.0,37.0,31.0,26.0,30.0,39.0,22.0,25.0,30.0,41.0,32.0,27.0,34.0,14.0,38.0,32.0
256,25.0,20.0,25.0,18.0,19.0,26.0,25.0,27.0,29.0,11.0,27.0,22.0,24.0,15.0,25.0,28.0
258,233.0,46.0,27.0,17.0,756.0,696.0,224.0,38.0,724.0,32.0,16.0,802.0,770.0,28.0,39.0,21.0
262,99.0,95.0,93.0,103.0,101.0,265.0,93.0,271.0,84.0,101.0,107.0,94.0,99.0,106.0,109.0,72.0
266,17.0,810.0,19.0,75.0,794.0,853.0,809.0,10.0,837.0,19.0,16.0,7.0,12.0,131.0,34.0,18.0
271,14.0,8.0,13.0,12.0,12.0,11.0,9.0,11.0,13.0,46.0,15.0,11.0,10.0,9.0,13.0,14.0
275,15.0,6.0,10.0,13.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0
281,5.0,14.0,5.0,27.0,46.0,651.0,5.0,5.0,15.0,6.0,23.0,17.0,15.0,17.0,5.0,5.0
283,5.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0
284,33.0,13.0,84.0,34.0,72.0,80.0,49.0,35.0,41.0,69.0,69.0,39.0,53.0,61.0,50.0,26.0
288,17.0,12.0,28.0,28.0,30.0,21.0,19.0,12.0,21.0,19.0,24.0,24.0,23.0,23.0,9.0,20.0
292,662.0,708.0,9.0,24.0,32.0,789.0,7.0,646.0,683.0,24.0,8.0,398.0,974.0,6.0,20.0,10.0
296,11.0,8.0,13.0,12.0,14.0,14.0,14.0,8.0,11.0,8.0,11.0,13.0,6.0,14.0,15.0,15.0
313,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,6.0,6.0,6.0
316,9.0,31.0,29.0,6.0,39.0,8.0,45.0,21.0,18.0,10.0,57.0,61.0,10.0,15.0,33.0,41.0
324,6.0,5.0,7.0,8.0,7.0,7.0,8.0,7.0,5.0,9.0,5.0,8.0,5.0,13.0,6.0,8.0
326,24.0,15.0,11.0,14.0,12.0,10.0,28.0,14.0,12.0,15.0,18.0,8.0,15.0,23.0,7.0,14.0
346,56.0,73.0,69.0,82.0,66.0,74.0,44.0,87.0,71.0,68.0,110.0,79.0,85.0,71.0,32.0,54.0
351,8.0,7.0,7.0,7.0,6.0,282.0,5.0,5.0,144.0,5.0,5.0,5.0,12.0,6.0,10.0,8.0
355,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,5.0,86.0,5.0,11.0,4.0,9.0,5.0,10.0
361,62.0,64.0,66.0,63.0,51.0,56.0,58.0,49.0,62.0,62.0,60.0,49.0,49.0,47.0,48.0,58.0
368,19.0,43.0,20.0,29.0,24.0,21.0,24.0,21.0,16.0,40.0,42.0,38.0,68.0,18.0,47.0,15.0
369,163.0,257.0,280.0,227.0,297.0,303.0,7.0,231.0,278.0,243.0,210.0,155.0,614.0,207.0,245.0,140.0
374,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
385,8.0,15.0,7.0,7.0,35.0,7.0,7.0,14.0,7.0,682.0,13.0,14.0,7.0,8.0,8.0,13.0
388,234.0,7.0,295.0,283.0,220.0,8.0,65.0,251.0,259.0,199.0,13.0,87.0,380.0,282.0,9.0,416.0
398,275.0,35.0,269.0,459.0,452.0,452.0,6.0,449.0,14.0,208.0,501.0,284.0,385.0,474.0,324.0,289.0
406,420.0,39.0,312.0,44.0,37.0,459.0,43.0,30.0,42.0,36.0,37.0,490.0,45.0,31.0,36.0,29.0
407,9.0,10.0,14.0,17.0,11.0,16.0,4.0,10.0,9.0,10.0,7.0,11.0,8.0,11.0,5.0,12.0
408,34.0,21.0,36.0,27.0,28.0,23.0,19.0,45.0,13.0,19.0,30.0,12.0,70.0,38.0,36.0,27.0
420,17.0,10.0,14.0,10.0,15.0,16.0,20.0,14.0,7.0,11.0,21.0,6.0,8.0,9.0,7.0,11.0
421,38.0,19.0,23.0,28.0,29.0,13.0,29.0,31.0,30.0,30.0,38.0,23.0,24.0,20.0,29.0,27.0
426,143.0,212.0,196.0,263.0,180.0,343.0,194.0,164.0,214.0,216.0,192.0,134.0,143.0,191.0,157.0,178.0
428,223.0,291.0,266.0,236.0,177.0,187.0,212.0,5.0,14.0,7.0,7.0,264.0,231.0,242.0,251.0,263.0
430,116.0,153.0,110.0,102.0,113.0,121.0,97.0,92.0,110.0,109.0,70.0,100.0,69.0,91.0,117.0,89.0
435,275.0,258.0,256.0,268.0,281.0,225.0,275.0,251.0,284.0,269.0,226.0,218.0,286.0,214.0,323.0,264.0
438,14.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0
443,721.0,725.0,748.0,834.0,6.0,669.0,718.0,7.0,694.0,483.0,676.0,7.0,883.0,683.0,660.0,649.0
447,30.0,21.0,27.0,27.0,33.0,36.0,22.0,18.0,19.0,17.0,16.0,30.0,23.0,33.0,21.0,18.0
449,19.0,115.0,108.0,93.0,9.0,10.0,113.0,118.0,8.0,108.0,8.0,81.0,57.0,102.0,97.0,21.0
452,87.0,139.0,134.0,117.0,145.0,100.0,100.0,88.0,115.0,118.0,94.0,135.0,103.0,107.0,111.0,114.0
464,33.0,26.0,33.0,30.0,28.0,28.0,34.0,30.0,33.0,37.0,32.0,39.0,34.0,91.0,34.0,22.0
467,16.0,15.0,24.0,19.0,5.0,32.0,26.0,15.0,15.0,30.0,5.0,7.0,25.0,26.0,26.0,6.0
469,35.0,39.0,47.0,38.0,31.0,527.0,29.0,33.0,40.0,23.0,39.0,20.0,29.0,33.0,44.0,28.0
470,196.0,14.0,122.0,13.0,80.0,11.0,19.0,21.0,157.0,15.0,393.0,56.0,107.0,426.0,468.0,84.0
474,11.0,5.0,13.0,15.0,13.0,6.0,13.0,8.0,14.0,14.0,10.0,15.0,11.0,16.0,13.0,16.0
477,23.0,19.0,53.0,22.0,19.0,14.0,18.0,22.0,20.0,27.0,28.0,21.0,24.0,13.0,23.0,27.0
479,41.0,37.0,53.0,52.0,43.0,45.0,48.0,51.0,46.0,64.0,59.0,64.0,56.0,58.0,41.0,56.0
480,449.0,485.0,487.0,560.0,13.0,372.0,462.0,5.0,5.0,337.0,518.0,574.0,514.0,326.0,406.0,472.0
481,7.0,216.0,225.0,244.0,204.0,18.0,87.0,131.0,167.0,167.0,6.0,104.0,7.0,240.0,202.0,181.0
487,5.0,19.0,18.0,11.0,7.0,11.0,9.0,10.0,16.0,12.0,11.0,5.0,6.0,11.0,9.0,14.0
494,45.0,52.0,37.0,66.0,83.0,45.0,46.0,35.0,49.0,51.0,55.0,35.0,123.0,69.0,55.0,26.0
496,48.0,50.0,5.0,548.0,17.0,558.0,53.0,6.0,5.0,60.0,6.0,19.0,20.0,10.0,52.0,656.0
505,25.0,16.0,75.0,16.0,30.0,31.0,17.0,39.0,13.0,15.0,76.0,18.0,66.0,19.0,154.0,16.0
513,14.0,9.0,30.0,22.0,18.0,11.0,15.0,11.0,18.0,13.0,14.0,14.0,14.0,6.0,26.0,6.0
518,43.0,58.0,59.0,56.0,52.0,58.0,60.0,58.0,60.0,54.0,49.0,43.0,52.0,51.0,57.0,52.0
520,793.0,20.0,832.0,423.0,28.0,8.0,17.0,890.0,9.0,41.0,340.0,850.0,4.0,7.0,748.0,41.0
521,1340.0,1439.0,3.0,896.0,1502.0,1533.0,3.0,1307.0,1513.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0
