,MANC,FANC,mCNS,BANC
0,8.0,10.0,18.0,3.0
1,5.0,11.0,17.0,7.0
2,4.0,11.0,16.0,3.0
3,5.0,10.0,19.0,4.0
4,4.0,11.0,16.0,7.0
5,4.0,12.0,18.0,6.0
6,5.0,11.0,15.0,6.0
7,5.0,12.0,17.0,4.0
8,4.0,11.0,17.0,4.0
9,3.0,10.0,19.0,6.0
10,3.0,13.0,15.0,4.0
11,4.0,11.0,19.0,5.0
12,5.0,11.0,20.0,3.0
13,5.0,12.0,13.0,4.0
14,7.0,10.0,18.0,4.0
15,4.0,10.0,15.0,4.0
16,4.0,13.0,16.0,5.0
17,5.0,11.0,20.0,7.0
18,5.0,14.0,18.0,4.0
19,5.0,11.0,19.0,4.0
20,5.0,11.0,18.0,4.0
21,5.0,10.0,15.0,4.0
22,7.0,11.0,18.0,7.0
23,5.0,11.0,18.0,6.0
24,4.0,11.0,14.0,4.0
25,1.0,13.0,16.0,4.0
26,2.0,11.0,15.0,5.0
27,3.0,11.0,16.0,4.0
28,3.0,12.0,20.0,4.0
29,1.0,12.0,13.0,6.0
30,4.0,10.0,19.0,4.0
31,5.0,11.0,18.0,5.0
32,5.0,13.0,17.0,5.0
33,5.0,13.0,16.0,3.0
34,4.0,12.0,21.0,5.0
35,5.0,10.0,18.0,7.0
36,4.0,10.0,16.0,4.0
37,5.0,10.0,16.0,6.0
38,4.0,11.0,17.0,3.0
39,1.0,11.0,20.0,4.0
40,3.0,11.0,16.0,5.0
41,3.0,10.0,16.0,3.0
42,4.0,10.0,16.0,3.0
43,4.0,12.0,16.0,4.0
44,5.0,11.0,18.0,6.0
45,5.0,13.0,16.0,6.0
46,6.0,10.0,18.0,3.0
47,1.0,12.0,16.0,7.0
48,5.0,10.0,15.0,5.0
49,4.0,11.0,15.0,6.0
50,4.0,11.0,14.0,4.0
51,10.0,10.0,15.0,7.0
52,4.0,12.0,16.0,7.0
53,5.0,11.0,19.0,5.0
54,4.0,11.0,17.0,5.0
55,5.0,9.0,16.0,5.0
56,4.0,10.0,21.0,4.0
57,5.0,12.0,18.0,6.0
58,1.0,10.0,16.0,4.0
59,6.0,11.0,19.0,4.0
60,5.0,10.0,18.0,4.0
61,3.0,10.0,19.0,4.0
62,4.0,13.0,18.0,5.0
63,5.0,11.0,16.0,4.0
64,4.0,13.0,18.0,4.0
65,4.0,12.0,14.0,4.0
66,4.0,10.0,19.0,5.0
67,5.0,11.0,15.0,5.0
68,5.0,11.0,14.0,3.0
69,3.0,11.0,16.0,3.0
70,5.0,12.0,15.0,5.0
71,8.0,11.0,17.0,4.0
72,5.0,13.0,16.0,3.0
73,3.0,10.0,19.0,4.0
74,1.0,10.0,15.0,7.0
75,8.0,10.0,19.0,7.0
76,5.0,10.0,17.0,4.0
77,5.0,12.0,16.0,5.0
78,5.0,11.0,18.0,5.0
79,4.0,11.0,19.0,7.0
80,2.0,11.0,16.0,2.0
81,4.0,10.0,15.0,4.0
82,3.0,11.0,16.0,6.0
83,3.0,11.0,19.0,4.0
84,5.0,10.0,17.0,4.0
85,5.0,12.0,14.0,3.0
86,5.0,11.0,18.0,4.0
87,5.0,11.0,16.0,4.0
88,3.0,11.0,16.0,5.0
89,3.0,12.0,17.0,4.0
90,5.0,11.0,16.0,5.0
91,4.0,12.0,19.0,4.0
92,4.0,12.0,19.0,4.0
93,3.0,10.0,20.0,4.0
94,4.0,11.0,18.0,3.0
95,5.0,11.0,16.0,4.0
96,5.0,10.0,17.0,4.0
97,4.0,13.0,18.0,4.0
98,3.0,11.0,17.0,4.0
99,6.0,12.0,18.0,4.0
100,2.0,13.0,16.0,3.0
101,5.0,10.0,18.0,4.0
102,4.0,10.0,14.0,3.0
103,4.0,10.0,16.0,4.0
104,5.0,12.0,16.0,7.0
105,3.0,11.0,15.0,5.0
106,3.0,11.0,17.0,5.0
107,3.0,11.0,13.0,4.0
108,1.0,10.0,18.0,6.0
109,4.0,11.0,20.0,4.0
110,2.0,11.0,13.0,5.0
111,4.0,12.0,16.0,6.0
112,5.0,10.0,17.0,8.0
113,5.0,10.0,19.0,3.0
114,6.0,10.0,16.0,3.0
115,4.0,13.0,13.0,3.0
116,4.0,10.0,20.0,5.0
117,4.0,10.0,17.0,4.0
118,3.0,9.0,16.0,4.0
119,3.0,11.0,17.0,4.0
120,2.0,11.0,19.0,4.0
121,5.0,11.0,18.0,3.0
122,4.0,12.0,17.0,5.0
123,3.0,12.0,17.0,3.0
124,5.0,10.0,18.0,5.0
125,5.0,10.0,18.0,4.0
126,2.0,12.0,17.0,6.0
127,1.0,11.0,19.0,4.0
128,4.0,11.0,16.0,5.0
129,5.0,11.0,18.0,4.0
130,6.0,11.0,16.0,6.0
131,5.0,10.0,15.0,5.0
132,4.0,12.0,17.0,5.0
133,4.0,10.0,18.0,3.0
134,6.0,10.0,18.0,6.0
135,3.0,11.0,14.0,5.0
136,5.0,11.0,15.0,5.0
137,4.0,11.0,15.0,5.0
138,3.0,11.0,15.0,5.0
139,4.0,10.0,18.0,4.0
140,3.0,11.0,18.0,4.0
141,5.0,11.0,18.0,7.0
142,5.0,10.0,14.0,4.0
143,4.0,11.0,18.0,5.0
144,4.0,10.0,17.0,4.0
145,1.0,11.0,15.0,3.0
146,4.0,11.0,18.0,5.0
147,3.0,10.0,16.0,4.0
148,5.0,10.0,13.0,7.0
149,2.0,10.0,18.0,4.0
150,4.0,11.0,18.0,3.0
151,5.0,10.0,15.0,5.0
152,1.0,10.0,17.0,5.0
153,5.0,11.0,20.0,4.0
154,5.0,10.0,16.0,4.0
155,5.0,11.0,13.0,7.0
156,4.0,10.0,16.0,4.0
157,2.0,10.0,13.0,4.0
158,2.0,10.0,15.0,4.0
159,4.0,11.0,15.0,5.0
160,4.0,12.0,16.0,4.0
161,8.0,11.0,14.0,4.0
162,4.0,12.0,17.0,7.0
163,5.0,11.0,17.0,6.0
164,4.0,13.0,19.0,3.0
165,4.0,10.0,18.0,6.0
166,5.0,10.0,19.0,5.0
167,5.0,10.0,16.0,4.0
168,4.0,11.0,15.0,3.0
169,4.0,11.0,17.0,6.0
170,4.0,12.0,18.0,3.0
171,3.0,10.0,17.0,4.0
172,3.0,12.0,14.0,4.0
173,5.0,11.0,17.0,4.0
174,4.0,10.0,20.0,5.0
175,5.0,10.0,18.0,4.0
176,5.0,13.0,16.0,4.0
177,5.0,11.0,15.0,4.0
178,3.0,12.0,17.0,6.0
179,3.0,10.0,17.0,5.0
180,2.0,12.0,18.0,4.0
181,1.0,11.0,17.0,4.0
182,4.0,11.0,16.0,4.0
183,5.0,11.0,16.0,6.0
184,7.0,9.0,16.0,4.0
185,4.0,12.0,15.0,5.0
186,4.0,11.0,16.0,3.0
187,1.0,11.0,16.0,3.0
188,5.0,10.0,15.0,4.0
189,4.0,10.0,19.0,5.0
190,5.0,10.0,17.0,6.0
191,5.0,10.0,16.0,4.0
192,4.0,12.0,17.0,3.0
193,5.0,12.0,14.0,7.0
194,5.0,12.0,14.0,5.0
195,3.0,12.0,18.0,4.0
196,1.0,12.0,17.0,5.0
197,5.0,10.0,19.0,3.0
198,2.0,12.0,18.0,4.0
199,5.0,10.0,16.0,5.0
200,1.0,11.0,15.0,2.0
201,4.0,11.0,16.0,5.0
202,3.0,12.0,15.0,4.0
203,5.0,11.0,18.0,4.0
204,5.0,10.0,18.0,5.0
205,5.0,11.0,19.0,4.0
206,4.0,11.0,18.0,3.0
207,7.0,10.0,18.0,5.0
208,3.0,12.0,19.0,7.0
209,6.0,14.0,18.0,6.0
210,1.0,8.0,16.0,5.0
211,5.0,10.0,17.0,7.0
212,3.0,10.0,14.0,7.0
213,2.0,13.0,17.0,5.0
214,5.0,11.0,15.0,7.0
215,4.0,10.0,15.0,4.0
216,4.0,11.0,19.0,7.0
217,4.0,11.0,19.0,5.0
218,6.0,10.0,17.0,4.0
219,4.0,14.0,16.0,6.0
220,5.0,10.0,17.0,4.0
221,1.0,12.0,16.0,4.0
222,4.0,12.0,16.0,4.0
223,4.0,10.0,18.0,5.0
224,5.0,11.0,18.0,4.0
225,9.0,11.0,17.0,4.0
226,3.0,12.0,16.0,6.0
227,4.0,11.0,15.0,5.0
228,3.0,12.0,20.0,5.0
229,1.0,12.0,15.0,4.0
230,5.0,9.0,20.0,4.0
231,2.0,11.0,14.0,4.0
232,4.0,11.0,18.0,3.0
233,4.0,10.0,19.0,5.0
234,1.0,11.0,17.0,5.0
235,3.0,10.0,18.0,4.0
236,4.0,10.0,18.0,4.0
237,5.0,11.0,16.0,3.0
238,4.0,8.0,12.0,4.0
239,5.0,10.0,15.0,4.0
240,5.0,11.0,15.0,4.0
241,4.0,12.0,19.0,4.0
242,5.0,11.0,21.0,3.0
243,5.0,8.0,16.0,4.0
244,5.0,11.0,18.0,4.0
245,3.0,12.0,15.0,5.0
246,3.0,10.0,16.0,4.0
247,4.0,10.0,19.0,3.0
248,4.0,11.0,17.0,4.0
249,4.0,13.0,18.0,4.0
250,2.0,11.0,14.0,5.0
251,5.0,11.0,17.0,6.0
252,3.0,12.0,16.0,3.0
253,5.0,10.0,16.0,4.0
254,4.0,10.0,20.0,5.0
255,4.0,12.0,19.0,4.0
256,1.0,10.0,16.0,5.0
257,4.0,5.0,19.0,5.0
258,5.0,11.0,18.0,4.0
