,55,65,75,85,95,105
0,52.0,104.0,164.0,296.0,466.0,1541.0
1,51.0,96.0,130.0,198.0,258.0,327.0
2,58.0,106.0,139.0,225.0,313.0,440.0
3,63.0,116.0,242.0,431.0,557.0,1792.0
4,35.0,97.0,120.0,179.0,379.0,470.0
5,61.0,104.0,134.0,268.0,390.0,433.0
6,87.0,124.0,221.0,360.0,548.0,1483.0
7,85.0,121.0,1580.0,1586.0,568.0,637.0
8,75.0,116.0,217.0,382.0,518.0,1608.0
9,70.0,112.0,203.0,903.0,1628.0,1540.0
10,41.0,90.0,119.0,151.0,216.0,276.0
11,50.0,102.0,127.0,220.0,724.0,886.0
12,69.0,106.0,137.0,237.0,303.0,370.0
13,18.0,66.0,102.0,128.0,178.0,258.0
14,76.0,119.0,240.0,409.0,497.0,1532.0
15,61.0,111.0,212.0,319.0,433.0,553.0
16,89.0,125.0,183.0,300.0,426.0,501.0
17,18.0,70.0,105.0,127.0,243.0,369.0
18,76.0,108.0,146.0,238.0,323.0,434.0
19,65.0,114.0,174.0,305.0,489.0,714.0
20,80.0,118.0,208.0,291.0,368.0,512.0
21,67.0,106.0,138.0,220.0,297.0,371.0
22,55.0,107.0,135.0,214.0,305.0,434.0
23,85.0,122.0,173.0,248.0,543.0,760.0
24,87.0,115.0,218.0,812.0,553.0,594.0
25,58.0,92.0,117.0,144.0,222.0,273.0
26,69.0,105.0,132.0,215.0,291.0,572.0
27,51.0,80.0,109.0,146.0,253.0,1555.0
28,62.0,108.0,146.0,277.0,464.0,578.0
29,71.0,109.0,179.0,289.0,1502.0,1672.0
30,89.0,127.0,347.0,456.0,546.0,600.0
31,46.0,84.0,112.0,165.0,248.0,308.0
32,60.0,97.0,127.0,198.0,289.0,354.0
33,65.0,108.0,142.0,251.0,334.0,434.0
34,21.0,72.0,110.0,190.0,345.0,452.0
35,60.0,113.0,175.0,1501.0,1563.0,1484.0
36,31.0,93.0,126.0,192.0,278.0,400.0
37,82.0,120.0,197.0,353.0,434.0,523.0
38,17.0,50.0,87.0,118.0,188.0,270.0
39,74.0,112.0,172.0,289.0,370.0,539.0
40,52.0,85.0,115.0,155.0,251.0,331.0
41,60.0,101.0,175.0,299.0,571.0,578.0
42,77.0,120.0,231.0,383.0,484.0,537.0
43,51.0,81.0,111.0,142.0,1565.0,1457.0
44,65.0,113.0,174.0,381.0,478.0,1619.0
45,89.0,123.0,208.0,1434.0,1531.0,1607.0
46,69.0,105.0,133.0,240.0,368.0,421.0
47,22.0,75.0,113.0,157.0,260.0,338.0
48,76.0,116.0,169.0,247.0,326.0,445.0
49,17.0,52.0,95.0,126.0,290.0,410.0
50,36.0,84.0,129.0,316.0,1647.0,1670.0
51,67.0,103.0,137.0,266.0,1089.0,1039.0
52,55.0,102.0,127.0,196.0,276.0,415.0
53,58.0,103.0,154.0,265.0,500.0,564.0
54,60.0,104.0,134.0,214.0,1489.0,551.0
55,67.0,109.0,154.0,287.0,1715.0,671.0
56,81.0,120.0,212.0,318.0,483.0,568.0
57,62.0,108.0,137.0,222.0,333.0,953.0
58,83.0,120.0,235.0,398.0,1154.0,769.0
59,65.0,106.0,140.0,245.0,1507.0,544.0
60,64.0,107.0,152.0,242.0,331.0,440.0
61,47.0,82.0,115.0,146.0,241.0,1621.0
62,60.0,99.0,125.0,211.0,360.0,408.0
63,71.0,112.0,147.0,226.0,1608.0,1554.0
64,74.0,110.0,211.0,853.0,819.0,940.0
65,74.0,115.0,251.0,373.0,543.0,1585.0
66,58.0,99.0,129.0,211.0,289.0,721.0
67,71.0,113.0,178.0,303.0,641.0,1632.0
68,74.0,120.0,187.0,293.0,1483.0,1607.0
69,68.0,110.0,185.0,292.0,422.0,552.0
70,57.0,102.0,130.0,186.0,274.0,329.0
71,59.0,97.0,125.0,212.0,876.0,969.0
72,55.0,104.0,152.0,263.0,349.0,451.0
73,38.0,91.0,116.0,142.0,248.0,359.0
74,44.0,88.0,113.0,179.0,445.0,553.0
75,80.0,112.0,147.0,278.0,330.0,1583.0
76,56.0,87.0,115.0,225.0,388.0,543.0
77,22.0,76.0,106.0,140.0,220.0,294.0
78,17.0,55.0,101.0,131.0,226.0,308.0
79,90.0,119.0,294.0,545.0,583.0,656.0
80,55.0,102.0,127.0,201.0,434.0,536.0
81,76.0,119.0,235.0,467.0,1610.0,1576.0
82,56.0,93.0,139.0,1545.0,549.0,601.0
83,75.0,113.0,141.0,274.0,392.0,477.0
84,72.0,111.0,239.0,599.0,608.0,1623.0
85,95.0,145.0,696.0,536.0,1553.0,1786.0
86,24.0,64.0,110.0,143.0,272.0,373.0
87,65.0,109.0,197.0,925.0,860.0,961.0
88,79.0,119.0,278.0,606.0,1539.0,1546.0
89,58.0,96.0,135.0,224.0,290.0,351.0
90,70.0,109.0,173.0,284.0,476.0,513.0
91,49.0,82.0,123.0,211.0,565.0,1890.0
92,34.0,82.0,111.0,165.0,269.0,388.0
93,46.0,84.0,114.0,154.0,254.0,353.0
94,66.0,108.0,175.0,279.0,541.0,608.0
95,37.0,91.0,119.0,230.0,349.0,480.0
96,50.0,99.0,127.0,210.0,287.0,389.0
97,24.0,85.0,118.0,183.0,1000.0,1469.0
98,46.0,79.0,109.0,148.0,240.0,503.0
99,21.0,67.0,103.0,130.0,309.0,408.0
100,61.0,100.0,134.0,219.0,288.0,392.0
101,89.0,169.0,403.0,518.0,1522.0,1548.0
102,64.0,107.0,160.0,260.0,342.0,435.0
103,20.0,71.0,106.0,131.0,229.0,304.0
104,69.0,121.0,221.0,325.0,572.0,1564.0
105,19.0,67.0,103.0,121.0,201.0,257.0
106,78.0,122.0,175.0,355.0,467.0,568.0
107,96.0,152.0,792.0,982.0,1500.0,1867.0
108,101.0,176.0,298.0,596.0,1594.0,1596.0
109,107.0,179.0,376.0,458.0,525.0,1541.0
110,18.0,93.0,122.0,197.0,292.0,744.0
111,52.0,95.0,124.0,199.0,291.0,448.0
112,91.0,132.0,247.0,484.0,558.0,655.0
113,38.0,87.0,120.0,205.0,325.0,447.0
114,35.0,97.0,121.0,154.0,243.0,309.0
115,18.0,70.0,103.0,130.0,297.0,393.0
116,61.0,103.0,148.0,319.0,568.0,1530.0
117,27.0,79.0,105.0,134.0,1553.0,1244.0
118,78.0,114.0,201.0,412.0,446.0,533.0
119,53.0,99.0,160.0,279.0,498.0,543.0
120,19.0,53.0,97.0,131.0,363.0,475.0
121,49.0,91.0,115.0,224.0,402.0,460.0
122,15.0,36.0,93.0,119.0,162.0,246.0
123,50.0,93.0,121.0,211.0,312.0,453.0
124,66.0,105.0,136.0,264.0,1483.0,506.0
125,30.0,83.0,113.0,162.0,244.0,299.0
126,94.0,132.0,248.0,550.0,1486.0,1526.0
127,44.0,98.0,137.0,236.0,515.0,595.0
128,19.0,55.0,91.0,112.0,140.0,210.0
129,59.0,105.0,141.0,230.0,1516.0,1038.0
130,68.0,112.0,157.0,255.0,377.0,432.0
131,45.0,86.0,111.0,145.0,262.0,361.0
132,79.0,114.0,165.0,282.0,399.0,453.0
133,78.0,113.0,249.0,341.0,938.0,1016.0
134,89.0,134.0,231.0,565.0,601.0,1611.0
135,40.0,89.0,121.0,186.0,281.0,392.0
136,23.0,83.0,117.0,145.0,243.0,355.0
137,67.0,110.0,169.0,267.0,342.0,430.0
138,63.0,108.0,143.0,219.0,292.0,354.0
139,76.0,117.0,158.0,255.0,317.0,570.0
140,86.0,130.0,288.0,567.0,616.0,1132.0
141,34.0,93.0,121.0,204.0,1744.0,839.0
142,50.0,98.0,157.0,292.0,422.0,1422.0
143,101.0,139.0,251.0,1549.0,1630.0,623.0
144,58.0,104.0,135.0,244.0,374.0,459.0
145,80.0,117.0,186.0,288.0,410.0,499.0
146,57.0,95.0,114.0,306.0,1257.0,1539.0
147,64.0,100.0,157.0,253.0,399.0,436.0
148,71.0,107.0,133.0,201.0,296.0,434.0
149,71.0,119.0,261.0,374.0,1513.0,1532.0
150,52.0,94.0,119.0,208.0,587.0,444.0
151,36.0,80.0,112.0,162.0,259.0,561.0
152,51.0,85.0,114.0,168.0,275.0,524.0
153,25.0,60.0,97.0,132.0,196.0,287.0
154,21.0,69.0,99.0,120.0,194.0,350.0
155,40.0,88.0,109.0,163.0,437.0,863.0
156,63.0,99.0,137.0,218.0,288.0,795.0
157,66.0,108.0,150.0,238.0,407.0,461.0
158,63.0,109.0,198.0,295.0,1629.0,637.0
159,23.0,74.0,105.0,130.0,191.0,263.0
160,24.0,79.0,114.0,143.0,232.0,321.0
161,79.0,116.0,174.0,270.0,625.0,688.0
162,53.0,98.0,125.0,182.0,264.0,379.0
163,66.0,111.0,186.0,1547.0,479.0,533.0
164,41.0,90.0,110.0,196.0,289.0,582.0
165,37.0,89.0,115.0,178.0,299.0,344.0
166,115.0,147.0,235.0,1337.0,1448.0,613.0
167,50.0,89.0,120.0,225.0,313.0,445.0
168,102.0,136.0,249.0,1323.0,518.0,566.0
169,39.0,86.0,114.0,180.0,268.0,563.0
170,56.0,96.0,124.0,210.0,286.0,385.0
171,38.0,94.0,122.0,155.0,216.0,282.0
172,18.0,62.0,100.0,119.0,144.0,213.0
173,59.0,107.0,183.0,310.0,495.0,585.0
174,18.0,43.0,99.0,122.0,219.0,334.0
175,51.0,94.0,119.0,189.0,428.0,1169.0
176,83.0,119.0,203.0,1541.0,1543.0,1542.0
177,86.0,122.0,203.0,404.0,531.0,554.0
178,66.0,114.0,182.0,396.0,468.0,573.0
179,69.0,120.0,212.0,1519.0,584.0,636.0
180,38.0,84.0,116.0,212.0,330.0,421.0
181,49.0,106.0,139.0,254.0,523.0,628.0
182,83.0,125.0,189.0,246.0,434.0,892.0
183,87.0,123.0,241.0,398.0,481.0,539.0
184,41.0,96.0,123.0,189.0,287.0,364.0
185,103.0,143.0,279.0,628.0,647.0,1749.0
186,76.0,111.0,188.0,570.0,611.0,1608.0
187,44.0,79.0,104.0,130.0,202.0,269.0
188,95.0,139.0,286.0,434.0,528.0,1606.0
189,64.0,100.0,135.0,224.0,320.0,486.0
190,86.0,123.0,257.0,1275.0,685.0,1575.0
191,59.0,103.0,194.0,362.0,595.0,1461.0
