,55,65,75,85,95,105
0,1,4,9,14,28,87
1,1,4,5,9,12,16
2,1,5,5,11,13,22
3,1,5,11,23,31,112
4,1,4,5,10,27,31
5,2,4,5,13,20,18
6,3,5,10,16,37,84
7,2,5,100,97,40,43
8,1,5,10,18,23,97
9,1,5,10,71,74,88
10,1,4,5,7,10,13
11,1,3,5,9,51,60
12,1,4,6,10,11,16
13,0,2,4,5,7,11
14,2,6,11,20,22,88
15,1,5,13,17,21,37
16,4,7,11,14,23,26
17,1,2,4,5,11,20
18,3,5,5,10,14,20
19,3,5,9,16,26,50
20,3,5,11,14,17,33
21,1,4,7,10,12,19
22,1,4,6,9,13,20
23,3,5,7,9,37,56
24,3,4,9,62,41,40
25,2,4,5,5,11,11
26,1,5,6,9,13,37
27,2,3,4,5,9,86
28,1,5,6,10,31,35
29,1,4,9,14,82,90
30,4,5,22,30,36,41
31,1,3,4,8,10,15
32,1,4,5,10,13,14
33,2,4,6,11,16,19
34,1,1,5,10,16,26
35,1,5,6,92,94,87
36,1,2,5,8,10,16
37,4,5,9,19,21,25
38,0,1,3,5,8,11
39,3,5,7,12,18,33
40,1,3,5,5,9,13
41,1,5,6,13,46,41
42,2,7,13,18,23,28
43,1,2,4,6,91,84
44,1,4,6,22,29,95
45,2,5,9,88,86,96
46,1,5,5,10,17,19
47,1,2,4,5,10,13
48,2,6,8,11,15,23
49,1,1,3,5,12,19
50,1,2,5,11,90,90
51,2,4,6,12,75,70
52,2,4,5,10,13,18
53,1,4,6,9,34,40
54,1,4,6,11,89,37
55,1,5,7,15,118,46
56,1,5,10,12,21,23
57,1,4,5,10,14,73
58,2,6,10,16,76,50
59,2,4,6,10,93,40
60,1,5,5,11,16,23
61,1,3,5,6,11,82
62,1,4,5,8,22,22
63,2,5,8,13,90,84
64,1,4,10,66,61,65
65,2,5,10,15,31,92
66,1,4,5,8,13,44
67,2,4,9,16,45,96
68,3,5,8,13,96,105
69,1,4,10,12,19,35
70,2,4,5,7,12,15
71,1,3,5,11,71,73
72,1,5,8,13,17,21
73,1,4,5,5,13,20
74,1,3,4,8,27,38
75,2,5,6,12,14,116
76,1,2,5,11,17,33
77,1,2,4,6,11,13
78,0,1,4,5,10,14
79,3,4,13,48,50,54
80,2,4,5,7,24,37
81,2,5,8,20,96,90
82,1,3,5,86,37,42
83,2,5,6,11,19,23
84,2,5,10,49,42,97
85,4,5,37,37,84,105
86,1,1,4,5,11,16
87,1,4,9,68,67,66
88,2,5,13,42,86,90
89,1,3,5,11,13,18
90,3,5,8,13,31,31
91,1,2,4,8,39,116
92,1,3,4,7,10,16
93,1,3,4,6,12,19
94,1,5,10,12,37,42
95,1,4,5,10,18,22
96,1,4,5,10,12,16
97,1,3,5,7,74,86
98,1,2,5,5,10,36
99,1,2,4,5,16,22
100,3,4,6,10,13,17
101,4,6,20,26,92,95
102,1,4,6,12,16,19
103,1,3,5,5,11,14
104,1,5,10,15,45,91
105,1,1,4,5,8,9
106,2,6,9,18,25,31
107,4,7,57,70,87,122
108,3,8,15,39,89,89
109,4,8,22,27,32,95
110,1,3,6,9,14,46
111,1,3,6,11,12,26
112,3,5,10,37,42,45
113,1,3,5,8,12,19
114,1,4,5,6,10,15
115,1,2,4,5,14,21
116,2,4,5,12,39,86
117,1,3,5,5,95,69
118,2,4,6,24,27,35
