,none,E1,E2,E3,E4,I2
0,168.0,307.0,132.0,61.0,146.0,1835.0
1,100.0,86.0,88.0,40.0,41.0,134.0
2,104.0,91.0,98.0,42.0,46.0,1727.0
3,115.0,334.0,100.0,64.0,86.0,394.0
4,99.0,65.0,97.0,39.0,46.0,138.0
5,105.0,102.0,111.0,60.0,63.0,167.0
6,122.0,113.0,120.0,50.0,104.0,266.0
7,134.0,152.0,134.0,66.0,128.0,311.0
8,108.0,110.0,124.0,52.0,54.0,417.0
9,95.0,60.0,86.0,33.0,36.0,140.0
10,90.0,62.0,81.0,35.0,39.0,130.0
11,100.0,64.0,91.0,39.0,46.0,124.0
12,116.0,102.0,123.0,65.0,59.0,195.0
13,120.0,113.0,108.0,61.0,100.0,215.0
14,130.0,390.0,128.0,62.0,106.0,497.0
15,103.0,88.0,93.0,50.0,44.0,157.0
16,111.0,98.0,106.0,57.0,50.0,198.0
17,94.0,69.0,91.0,40.0,39.0,131.0
18,108.0,102.0,92.0,52.0,78.0,404.0
19,123.0,129.0,106.0,51.0,85.0,434.0
20,112.0,101.0,104.0,42.0,48.0,338.0
21,130.0,126.0,108.0,49.0,102.0,252.0
22,121.0,116.0,144.0,60.0,84.0,309.0
23,111.0,97.0,107.0,56.0,48.0,286.0
24,104.0,96.0,109.0,43.0,55.0,183.0
25,45.0,26.0,40.0,25.0,23.0,59.0
26,76.0,66.0,96.0,37.0,39.0,176.0
27,76.0,52.0,72.0,38.0,41.0,94.0
28,83.0,58.0,80.0,37.0,41.0,120.0
29,80.0,45.0,72.0,31.0,34.0,108.0
30,109.0,105.0,94.0,58.0,49.0,337.0
31,112.0,99.0,105.0,52.0,95.0,406.0
32,142.0,1440.0,202.0,51.0,190.0,762.0
33,121.0,152.0,141.0,63.0,106.0,373.0
34,94.0,61.0,86.0,35.0,41.0,134.0
35,122.0,146.0,104.0,62.0,80.0,343.0
36,106.0,92.0,88.0,52.0,50.0,170.0
37,112.0,113.0,117.0,54.0,84.0,1905.0
38,102.0,85.0,87.0,47.0,51.0,176.0
39,86.0,68.0,83.0,40.0,40.0,125.0
40,82.0,73.0,121.0,46.0,46.0,1477.0
41,73.0,54.0,77.0,36.0,40.0,112.0
42,95.0,80.0,94.0,40.0,40.0,309.0
43,112.0,102.0,337.0,47.0,48.0,432.0
44,116.0,111.0,102.0,45.0,91.0,224.0
45,112.0,102.0,108.0,50.0,53.0,1638.0
46,132.0,140.0,122.0,61.0,102.0,364.0
47,78.0,55.0,84.0,36.0,40.0,108.0
48,115.0,114.0,157.0,62.0,94.0,856.0
49,91.0,67.0,83.0,45.0,44.0,119.0
50,106.0,100.0,133.0,51.0,53.0,300.0
51,231.0,380.0,210.0,68.0,145.0,1705.0
52,93.0,60.0,82.0,39.0,43.0,120.0
53,115.0,96.0,129.0,62.0,50.0,246.0
54,99.0,62.0,89.0,46.0,45.0,122.0
55,136.0,230.0,132.0,48.0,163.0,421.0
56,101.0,87.0,81.0,38.0,40.0,132.0
57,120.0,131.0,114.0,62.0,101.0,714.0
58,51.0,40.0,57.0,31.0,29.0,92.0
59,124.0,126.0,103.0,61.0,80.0,1519.0
60,118.0,116.0,163.0,52.0,79.0,499.0
61,83.0,53.0,78.0,36.0,40.0,106.0
62,96.0,70.0,89.0,43.0,43.0,151.0
63,116.0,118.0,102.0,56.0,89.0,407.0
64,91.0,65.0,88.0,40.0,42.0,137.0
65,112.0,104.0,101.0,53.0,58.0,1297.0
66,102.0,67.0,99.0,50.0,44.0,126.0
67,131.0,159.0,192.0,67.0,117.0,1531.0
68,114.0,113.0,106.0,54.0,85.0,397.0
69,101.0,79.0,109.0,48.0,51.0,339.0
70,114.0,104.0,149.0,51.0,85.0,360.0
71,179.0,328.0,165.0,64.0,233.0,807.0
72,128.0,113.0,107.0,58.0,93.0,260.0
73,86.0,53.0,85.0,35.0,39.0,106.0
74,67.0,44.0,56.0,31.0,32.0,90.0
75,180.0,227.0,126.0,64.0,125.0,1399.0
76,119.0,124.0,125.0,55.0,52.0,270.0
77,108.0,94.0,97.0,57.0,49.0,196.0
78,115.0,109.0,113.0,65.0,68.0,434.0
79,110.0,85.0,116.0,46.0,53.0,427.0
80,91.0,79.0,86.0,38.0,38.0,214.0
81,99.0,68.0,90.0,43.0,39.0,283.0
82,78.0,42.0,61.0,30.0,30.0,90.0
83,91.0,69.0,82.0,46.0,46.0,1061.0
84,100.0,77.0,96.0,42.0,45.0,135.0
85,119.0,117.0,104.0,58.0,105.0,320.0
86,111.0,111.0,105.0,56.0,49.0,1610.0
87,152.0,176.0,179.0,62.0,125.0,1397.0
88,70.0,43.0,59.0,31.0,33.0,84.0
89,85.0,60.0,89.0,41.0,42.0,117.0
90,113.0,96.0,107.0,46.0,47.0,146.0
91,112.0,101.0,103.0,49.0,91.0,331.0
92,98.0,61.0,87.0,53.0,45.0,122.0
93,72.0,52.0,71.0,36.0,38.0,95.0
94,105.0,96.0,125.0,51.0,48.0,142.0
95,113.0,110.0,100.0,49.0,87.0,408.0
96,112.0,101.0,107.0,44.0,85.0,161.0
97,111.0,103.0,107.0,51.0,90.0,311.0
98,72.0,47.0,60.0,37.0,40.0,84.0
99,141.0,1508.0,157.0,67.0,182.0,1391.0
100,95.0,73.0,85.0,40.0,39.0,356.0
101,131.0,136.0,146.0,52.0,204.0,779.0
102,94.0,69.0,95.0,37.0,42.0,152.0
103,95.0,59.0,87.0,36.0,42.0,130.0
104,112.0,114.0,113.0,52.0,86.0,237.0
105,90.0,63.0,91.0,36.0,41.0,139.0
106,92.0,62.0,96.0,38.0,42.0,122.0
107,80.0,53.0,71.0,36.0,37.0,111.0
108,71.0,54.0,71.0,42.0,37.0,123.0
109,99.0,75.0,91.0,40.0,45.0,145.0
110,82.0,50.0,81.0,32.0,35.0,107.0
111,111.0,109.0,110.0,51.0,53.0,293.0
112,121.0,113.0,103.0,46.0,86.0,354.0
113,106.0,64.0,100.0,40.0,43.0,132.0
114,133.0,143.0,121.0,62.0,112.0,604.0
115,101.0,72.0,95.0,47.0,47.0,138.0
116,109.0,109.0,97.0,52.0,59.0,298.0
117,103.0,76.0,85.0,41.0,43.0,254.0
118,89.0,45.0,74.0,31.0,29.0,114.0
119,90.0,53.0,78.0,44.0,37.0,116.0
120,51.0,30.0,44.0,28.0,27.0,57.0
121,110.0,107.0,143.0,56.0,52.0,179.0
122,95.0,60.0,76.0,38.0,42.0,114.0
123,86.0,54.0,81.0,39.0,41.0,113.0
124,115.0,123.0,92.0,56.0,99.0,438.0
