,none,E2,E3,E4,I2
0,8.0,3.0,3.0,7.0,122.0
1,5.0,2.0,3.0,3.0,8.0
2,4.0,2.0,3.0,3.0,101.0
3,5.0,1.0,3.0,5.0,32.0
4,4.0,2.0,3.0,2.0,8.0
5,4.0,3.0,3.0,3.0,10.0
6,5.0,1.0,3.0,5.0,15.0
7,5.0,3.0,3.0,5.0,21.0
8,4.0,2.0,3.0,3.0,33.0
9,3.0,1.0,2.0,2.0,8.0
10,3.0,1.0,2.0,2.0,8.0
11,4.0,2.0,2.0,2.0,8.0
12,5.0,2.0,3.0,3.0,12.0
13,5.0,1.0,3.0,5.0,13.0
14,7.0,2.0,3.0,5.0,42.0
15,4.0,2.0,3.0,3.0,9.0
16,4.0,2.0,3.0,3.0,11.0
17,5.0,2.0,2.0,2.0,8.0
18,5.0,1.0,3.0,4.0,36.0
19,5.0,2.0,3.0,5.0,32.0
20,5.0,1.0,3.0,3.0,27.0
21,5.0,2.0,3.0,5.0,18.0
22,7.0,5.0,3.0,5.0,19.0
23,5.0,2.0,3.0,3.0,18.0
24,4.0,2.0,3.0,3.0,11.0
25,1.0,1.0,2.0,1.0,2.0
26,2.0,2.0,2.0,2.0,14.0
27,3.0,3.0,3.0,3.0,4.0
28,3.0,2.0,2.0,2.0,8.0
29,1.0,1.0,2.0,1.0,7.0
30,4.0,2.0,3.0,3.0,22.0
31,5.0,1.0,3.0,5.0,31.0
32,5.0,11.0,3.0,8.0,62.0
33,5.0,2.0,3.0,5.0,29.0
34,4.0,2.0,2.0,2.0,8.0
35,5.0,2.0,3.0,4.0,21.0
36,4.0,2.0,3.0,3.0,9.0
37,5.0,2.0,3.0,5.0,122.0
38,4.0,1.0,3.0,3.0,9.0
39,1.0,1.0,2.0,2.0,7.0
40,3.0,3.0,3.0,3.0,83.0
41,3.0,2.0,3.0,3.0,7.0
42,4.0,1.0,2.0,2.0,26.0
43,4.0,28.0,3.0,3.0,28.0
44,5.0,2.0,3.0,5.0,16.0
45,5.0,2.0,3.0,3.0,99.0
46,6.0,1.0,2.0,5.0,28.0
47,1.0,1.0,2.0,2.0,7.0
48,5.0,8.0,3.0,5.0,66.0
49,4.0,2.0,3.0,3.0,8.0
50,4.0,4.0,3.0,3.0,22.0
51,10.0,14.0,3.0,5.0,99.0
52,4.0,2.0,3.0,3.0,7.0
53,5.0,1.0,3.0,3.0,15.0
54,4.0,2.0,2.0,2.0,8.0
