,none,E1,E2,E4,E5,I2
0,86.0,74.0,81.0,54.0,78.0,169.0
1,95.0,81.0,93.0,67.0,87.0,178.0
2,89.0,74.0,84.0,65.0,85.0,197.0
3,89.0,79.0,86.0,65.0,83.0,194.0
4,99.0,83.0,90.0,68.0,96.0,197.0
5,92.0,77.0,84.0,60.0,84.0,173.0
6,88.0,75.0,84.0,62.0,82.0,181.0
7,89.0,78.0,90.0,62.0,83.0,172.0
8,88.0,73.0,84.0,62.0,74.0,183.0
9,101.0,87.0,97.0,71.0,91.0,206.0
10,88.0,76.0,85.0,63.0,80.0,167.0
11,69.0,63.0,65.0,49.0,67.0,180.0
12,90.0,79.0,87.0,61.0,78.0,180.0
13,86.0,75.0,88.0,61.0,81.0,177.0
14,88.0,75.0,86.0,68.0,77.0,186.0
15,90.0,80.0,88.0,65.0,82.0,196.0
16,83.0,71.0,78.0,54.0,71.0,182.0
17,92.0,79.0,89.0,65.0,83.0,200.0
18,79.0,72.0,80.0,58.0,77.0,171.0
19,77.0,67.0,76.0,54.0,67.0,176.0
20,86.0,75.0,84.0,65.0,78.0,191.0
21,95.0,82.0,93.0,64.0,85.0,185.0
22,82.0,71.0,79.0,54.0,73.0,166.0
23,93.0,81.0,91.0,65.0,81.0,181.0
24,92.0,79.0,89.0,64.0,89.0,189.0
25,88.0,79.0,85.0,61.0,79.0,182.0
26,80.0,70.0,80.0,58.0,72.0,187.0
27,82.0,73.0,78.0,53.0,73.0,162.0
28,96.0,78.0,89.0,67.0,84.0,195.0
29,91.0,77.0,87.0,59.0,82.0,195.0
30,76.0,61.0,71.0,53.0,76.0,163.0
31,93.0,80.0,87.0,69.0,85.0,188.0
32,85.0,75.0,83.0,59.0,72.0,193.0
33,75.0,64.0,73.0,54.0,64.0,169.0
34,103.0,81.0,91.0,71.0,91.0,192.0
35,81.0,70.0,80.0,58.0,73.0,188.0
36,92.0,79.0,91.0,63.0,79.0,178.0
37,88.0,78.0,86.0,63.0,77.0,189.0
38,95.0,79.0,91.0,63.0,91.0,189.0
39,102.0,84.0,95.0,73.0,89.0,193.0
40,77.0,64.0,77.0,58.0,66.0,174.0
41,88.0,78.0,83.0,60.0,80.0,187.0
42,92.0,81.0,92.0,68.0,87.0,197.0
43,90.0,82.0,86.0,63.0,83.0,190.0
44,85.0,74.0,80.0,61.0,74.0,150.0
45,102.0,83.0,91.0,69.0,89.0,185.0
46,93.0,84.0,94.0,68.0,93.0,208.0
47,78.0,71.0,77.0,60.0,69.0,174.0
48,92.0,79.0,87.0,61.0,84.0,178.0
49,88.0,78.0,86.0,61.0,86.0,205.0
50,88.0,77.0,83.0,59.0,78.0,186.0
51,93.0,83.0,91.0,66.0,87.0,208.0
52,88.0,80.0,87.0,61.0,82.0,197.0
53,78.0,68.0,77.0,55.0,66.0,180.0
54,86.0,75.0,84.0,62.0,77.0,198.0
55,94.0,77.0,91.0,69.0,82.0,178.0
56,90.0,80.0,92.0,66.0,87.0,195.0
57,79.0,72.0,77.0,57.0,70.0,180.0
58,80.0,63.0,74.0,52.0,71.0,181.0
59,103.0,84.0,94.0,71.0,96.0,205.0
60,85.0,71.0,80.0,59.0,72.0,166.0
61,87.0,77.0,85.0,64.0,81.0,194.0
62,84.0,71.0,84.0,60.0,78.0,188.0
63,92.0,76.0,85.0,63.0,78.0,187.0
64,87.0,80.0,83.0,65.0,77.0,197.0
65,92.0,78.0,86.0,61.0,88.0,177.0
66,80.0,70.0,79.0,55.0,71.0,171.0
67,91.0,80.0,89.0,60.0,86.0,196.0
