,none,E1,E2,E4,E5,I2
0,11.0,10.0,11.0,11.0,5.0,18.0
1,12.0,10.0,11.0,11.0,6.0,21.0
2,12.0,11.0,11.0,11.0,8.0,19.0
3,11.0,11.0,11.0,11.0,4.0,19.0
4,13.0,10.0,11.0,11.0,8.0,22.0
5,11.0,9.0,9.0,9.0,5.0,18.0
6,11.0,9.0,9.0,9.0,5.0,20.0
7,11.0,10.0,11.0,11.0,5.0,18.0
8,12.0,10.0,11.0,11.0,3.0,21.0
9,12.0,10.0,11.0,11.0,6.0,20.0
10,10.0,10.0,10.0,10.0,5.0,19.0
11,7.0,5.0,5.0,5.0,5.0,19.0
12,10.0,10.0,10.0,10.0,5.0,19.0
13,11.0,9.0,11.0,11.0,5.0,19.0
14,12.0,11.0,11.0,11.0,4.0,21.0
15,11.0,10.0,11.0,11.0,5.0,20.0
16,10.0,9.0,8.0,8.0,5.0,19.0
17,11.0,10.0,10.0,10.0,6.0,20.0
18,10.0,9.0,9.0,9.0,5.0,19.0
19,10.0,10.0,10.0,10.0,5.0,18.0
20,10.0,10.0,10.0,10.0,5.0,19.0
21,11.0,10.0,11.0,11.0,6.0,19.0
22,10.0,8.0,9.0,9.0,4.0,18.0
23,13.0,12.0,13.0,13.0,4.0,21.0
24,11.0,10.0,11.0,11.0,5.0,18.0
25,12.0,11.0,10.0,10.0,5.0,20.0
26,10.0,8.0,9.0,9.0,5.0,19.0
27,10.0,9.0,9.0,9.0,4.0,17.0
28,12.0,9.0,9.0,9.0,6.0,19.0
29,12.0,10.0,11.0,11.0,5.0,21.0
30,8.0,4.0,5.0,5.0,5.0,18.0
31,11.0,10.0,10.0,10.0,5.0,20.0
32,11.0,9.0,10.0,10.0,5.0,19.0
33,10.0,8.0,9.0,9.0,4.0,18.0
34,12.0,10.0,10.0,10.0,5.0,19.0
35,10.0,8.0,10.0,10.0,5.0,20.0
36,12.0,10.0,12.0,12.0,6.0,20.0
37,11.0,9.0,10.0,10.0,4.0,20.0
38,12.0,10.0,12.0,12.0,7.0,19.0
39,14.0,11.0,13.0,13.0,4.0,20.0
40,9.0,7.0,8.0,8.0,3.0,18.0
41,10.0,10.0,10.0,10.0,5.0,20.0
42,12.0,10.0,11.0,11.0,5.0,19.0
43,11.0,10.0,10.0,10.0,6.0,19.0
44,9.0,9.0,8.0,8.0,4.0,15.0
45,14.0,10.0,11.0,11.0,6.0,20.0
46,11.0,10.0,11.0,11.0,6.0,20.0
47,10.0,8.0,9.0,9.0,4.0,18.0
48,12.0,10.0,10.0,10.0,5.0,19.0
49,11.0,10.0,12.0,12.0,5.0,21.0
50,11.0,10.0,11.0,11.0,6.0,20.0
51,11.0,10.0,11.0,11.0,6.0,22.0
52,11.0,11.0,12.0,12.0,6.0,22.0
53,10.0,9.0,9.0,9.0,5.0,18.0
54,10.0,10.0,10.0,10.0,5.0,19.0
55,13.0,10.0,10.0,10.0,5.0,19.0
56,10.0,9.0,11.0,11.0,5.0,19.0
57,10.0,9.0,9.0,9.0,5.0,18.0
58,10.0,8.0,9.0,9.0,5.0,19.0
59,12.0,10.0,10.0,10.0,8.0,20.0
60,10.0,9.0,9.0,9.0,4.0,18.0
61,10.0,10.0,10.0,10.0,5.0,19.0
62,10.0,9.0,9.0,9.0,5.0,20.0
63,12.0,10.0,10.0,10.0,5.0,18.0
64,10.0,9.0,8.0,8.0,4.0,20.0
65,12.0,10.0,10.0,10.0,7.0,19.0
66,9.0,8.0,8.0,8.0,4.0,18.0
67,11.0,11.0,11.0,11.0,6.0,19.0
68,12.0,11.0,11.0,11.0,5.0,20.0
69,11.0,10.0,11.0,11.0,6.0,19.0
70,10.0,9.0,10.0,10.0,5.0,19.0
71,9.0,8.0,8.0,8.0,5.0,18.0
72,11.0,10.0,10.0,10.0,5.0,20.0
73,10.0,9.0,9.0,9.0,6.0,18.0
74,12.0,10.0,11.0,11.0,6.0,20.0
75,11.0,10.0,11.0,11.0,5.0,22.0
76,11.0,10.0,11.0,11.0,5.0,20.0
77,12.0,9.0,12.0,12.0,5.0,19.0
78,11.0,10.0,11.0,11.0,5.0,20.0
79,11.0,9.0,9.0,9.0,5.0,19.0
80,11.0,11.0,12.0,12.0,7.0,20.0
81,13.0,11.0,12.0,12.0,6.0,20.0
82,12.0,10.0,12.0,12.0,7.0,19.0
83,11.0,10.0,10.0,10.0,5.0,20.0
84,10.0,10.0,10.0,10.0,4.0,19.0
85,11.0,9.0,10.0,10.0,6.0,21.0
86,11.0,9.0,9.0,9.0,5.0,20.0
87,11.0,10.0,10.0,10.0,5.0,18.0
88,13.0,10.0,10.0,10.0,5.0,20.0
89,12.0,10.0,11.0,11.0,7.0,18.0
90,12.0,10.0,10.0,10.0,5.0,18.0
91,11.0,9.0,10.0,10.0,5.0,20.0
92,11.0,10.0,11.0,11.0,5.0,18.0
93,10.0,10.0,10.0,10.0,5.0,19.0
94,12.0,10.0,11.0,11.0,5.0,20.0
95,11.0,10.0,10.0,10.0,5.0,20.0
96,10.0,10.0,10.0,10.0,5.0,19.0
97,12.0,10.0,11.0,11.0,7.0,20.0
98,11.0,10.0,12.0,12.0,6.0,19.0
99,11.0,9.0,9.0,9.0,5.0,18.0
100,12.0,10.0,10.0,10.0,5.0,18.0
101,11.0,9.0,10.0,10.0,6.0,19.0
102,11.0,9.0,9.0,9.0,5.0,19.0
103,10.0,10.0,10.0,10.0,5.0,18.0
104,9.0,8.0,7.0,7.0,5.0,18.0
105,12.0,10.0,10.0,10.0,5.0,20.0
106,11.0,10.0,11.0,11.0,5.0,21.0
107,11.0,10.0,10.0,10.0,6.0,19.0
108,12.0,10.0,11.0,11.0,5.0,20.0
109,10.0,10.0,10.0,10.0,4.0,18.0
110,10.0,10.0,10.0,10.0,5.0,18.0
111,13.0,10.0,11.0,11.0,5.0,22.0
112,10.0,10.0,10.0,10.0,6.0,20.0
113,11.0,9.0,9.0,9.0,5.0,20.0
114,11.0,10.0,10.0,10.0,4.0,19.0
115,12.0,10.0,11.0,11.0,5.0,19.0
116,13.0,10.0,12.0,12.0,5.0,21.0
117,11.0,10.0,9.0,9.0,4.0,18.0
118,11.0,8.0,8.0,8.0,5.0,20.0
119,11.0,10.0,12.0,12.0,6.0,20.0
120,10.0,10.0,10.0,10.0,5.0,19.0
121,11.0,10.0,10.0,10.0,5.0,19.0
122,10.0,8.0,9.0,9.0,5.0,19.0
123,11.0,10.0,11.0,11.0,6.0,20.0
124,11.0,10.0,10.0,10.0,6.0,19.0
125,10.0,10.0,10.0,10.0,5.0,18.0
126,10.0,10.0,10.0,10.0,4.0,18.0
127,10.0,10.0,10.0,10.0,5.0,18.0
128,12.0,10.0,12.0,12.0,5.0,19.0
129,12.0,10.0,12.0,12.0,8.0,21.0
130,10.0,10.0,10.0,10.0,6.0,20.0
131,9.0,9.0,8.0,8.0,5.0,18.0
132,12.0,10.0,10.0,10.0,5.0,20.0
133,12.0,10.0,11.0,11.0,6.0,20.0
134,11.0,9.0,10.0,10.0,5.0,19.0
135,10.0,9.0,10.0,10.0,5.0,17.0
136,11.0,10.0,11.0,11.0,6.0,18.0
137,12.0,10.0,11.0,11.0,6.0,20.0
138,11.0,10.0,10.0,10.0,5.0,18.0
139,11.0,10.0,10.0,10.0,8.0,21.0
140,11.0,9.0,9.0,9.0,5.0,18.0
141,12.0,10.0,11.0,11.0,6.0,20.0
142,11.0,10.0,11.0,11.0,4.0,19.0
143,11.0,9.0,9.0,9.0,6.0,19.0
144,10.0,10.0,10.0,10.0,5.0,21.0
145,12.0,10.0,10.0,10.0,6.0,19.0
146,12.0,10.0,10.0,10.0,8.0,19.0
147,10.0,7.0,7.0,7.0,5.0,17.0
148,10.0,10.0,10.0,10.0,6.0,21.0
149,10.0,8.0,9.0,9.0,5.0,19.0
150,12.0,10.0,10.0,10.0,7.0,19.0
151,10.0,10.0,11.0,11.0,5.0,20.0
152,12.0,10.0,11.0,11.0,6.0,19.0
153,12.0,10.0,12.0,12.0,5.0,20.0
154,12.0,11.0,12.0,12.0,5.0,19.0
155,12.0,10.0,10.0,10.0,5.0,20.0
156,12.0,10.0,11.0,11.0,7.0,20.0
157,11.0,9.0,10.0,10.0,5.0,20.0
158,11.0,9.0,9.0,9.0,4.0,19.0
159,13.0,10.0,11.0,11.0,6.0,20.0
160,10.0,9.0,8.0,8.0,5.0,20.0
161,10.0,10.0,10.0,10.0,6.0,20.0
162,13.0,10.0,11.0,11.0,6.0,21.0
163,11.0,9.0,9.0,9.0,5.0,19.0
164,11.0,10.0,11.0,11.0,5.0,20.0
165,13.0,10.0,10.0,10.0,6.0,22.0
166,10.0,9.0,9.0,9.0,6.0,19.0
167,11.0,10.0,9.0,9.0,5.0,19.0
168,11.0,10.0,10.0,10.0,5.0,18.0
169,12.0,10.0,10.0,10.0,5.0,19.0
170,10.0,10.0,11.0,11.0,4.0,19.0
171,10.0,9.0,9.0,9.0,5.0,19.0
172,11.0,10.0,10.0,10.0,5.0,21.0
173,12.0,10.0,11.0,11.0,5.0,19.0
174,9.0,8.0,8.0,8.0,5.0,18.0
175,11.0,11.0,11.0,11.0,5.0,21.0
176,10.0,9.0,9.0,9.0,6.0,19.0
177,11.0,9.0,10.0,10.0,5.0,18.0
178,12.0,10.0,11.0,11.0,7.0,19.0
179,10.0,9.0,9.0,9.0,6.0,18.0
180,10.0,9.0,9.0,9.0,5.0,18.0
181,10.0,10.0,10.0,10.0,5.0,19.0
182,11.0,9.0,10.0,10.0,5.0,19.0
183,10.0,9.0,8.0,8.0,4.0,18.0
184,11.0,9.0,9.0,9.0,5.0,20.0
185,10.0,9.0,10.0,10.0,6.0,20.0
186,11.0,10.0,10.0,10.0,6.0,18.0
187,11.0,10.0,10.0,10.0,6.0,21.0
188,12.0,10.0,10.0,10.0,5.0,19.0
189,11.0,10.0,12.0,12.0,5.0,20.0
190,14.0,11.0,12.0,12.0,5.0,22.0
191,12.0,11.0,12.0,12.0,5.0,19.0
192,12.0,10.0,11.0,11.0,7.0,20.0
193,13.0,11.0,12.0,12.0,5.0,20.0
194,9.0,7.0,8.0,8.0,4.0,19.0
195,12.0,10.0,11.0,11.0,5.0,20.0
196,11.0,9.0,10.0,10.0,4.0,19.0
197,11.0,9.0,9.0,9.0,5.0,18.0
198,10.0,9.0,10.0,10.0,5.0,19.0
199,11.0,11.0,12.0,12.0,5.0,21.0
200,11.0,10.0,12.0,12.0,5.0,20.0
201,11.0,10.0,10.0,10.0,4.0,19.0
202,11.0,10.0,10.0,10.0,5.0,20.0
203,11.0,10.0,10.0,10.0,4.0,19.0
204,10.0,9.0,11.0,11.0,5.0,20.0
205,11.0,9.0,10.0,10.0,4.0,18.0
206,10.0,9.0,10.0,10.0,5.0,18.0
207,13.0,10.0,11.0,11.0,6.0,19.0
208,10.0,9.0,9.0,9.0,5.0,21.0
209,10.0,9.0,8.0,8.0,5.0,18.0
210,9.0,8.0,8.0,8.0,5.0,20.0
211,10.0,10.0,10.0,10.0,5.0,18.0
212,13.0,11.0,12.0,12.0,5.0,20.0
213,11.0,10.0,12.0,12.0,4.0,19.0
214,10.0,9.0,9.0,9.0,4.0,19.0
215,11.0,10.0,11.0,11.0,5.0,18.0
216,11.0,9.0,11.0,11.0,5.0,19.0
217,11.0,10.0,11.0,11.0,5.0,20.0
218,11.0,10.0,10.0,10.0,6.0,19.0
219,10.0,9.0,9.0,9.0,6.0,19.0
220,12.0,10.0,11.0,11.0,5.0,20.0
221,11.0,10.0,10.0,10.0,6.0,18.0
222,12.0,10.0,11.0,11.0,5.0,19.0
223,10.0,9.0,9.0,9.0,5.0,18.0
224,11.0,11.0,11.0,11.0,4.0,19.0
225,11.0,10.0,11.0,11.0,5.0,19.0
226,10.0,9.0,10.0,10.0,6.0,19.0
227,11.0,10.0,11.0,11.0,6.0,18.0
228,10.0,9.0,8.0,8.0,6.0,20.0
229,13.0,10.0,12.0,12.0,6.0,21.0
230,11.0,10.0,10.0,10.0,5.0,19.0
231,11.0,9.0,9.0,9.0,4.0,19.0
232,10.0,9.0,10.0,10.0,5.0,17.0
233,13.0,11.0,12.0,12.0,6.0,20.0
234,10.0,10.0,10.0,10.0,5.0,20.0
235,12.0,9.0,10.0,10.0,5.0,19.0
236,11.0,11.0,11.0,11.0,5.0,19.0
237,12.0,10.0,10.0,10.0,7.0,19.0
238,11.0,10.0,11.0,11.0,6.0,19.0
239,11.0,10.0,11.0,11.0,5.0,20.0
240,11.0,9.0,10.0,10.0,5.0,20.0
241,11.0,10.0,9.0,9.0,5.0,19.0
242,11.0,10.0,11.0,11.0,5.0,19.0
243,14.0,10.0,12.0,12.0,7.0,23.0
244,11.0,10.0,10.0,10.0,5.0,19.0
245,11.0,10.0,12.0,12.0,6.0,19.0
246,11.0,10.0,10.0,10.0,5.0,19.0
247,12.0,11.0,11.0,11.0,5.0,21.0
248,12.0,10.0,10.0,10.0,6.0,20.0
249,11.0,10.0,10.0,10.0,4.0,18.0
250,11.0,10.0,10.0,10.0,5.0,20.0
251,11.0,9.0,10.0,10.0,5.0,18.0
252,11.0,9.0,9.0,9.0,6.0,21.0
253,11.0,10.0,12.0,12.0,6.0,21.0
254,12.0,10.0,11.0,11.0,5.0,20.0
255,13.0,11.0,13.0,13.0,5.0,21.0
256,11.0,10.0,10.0,10.0,4.0,19.0
257,10.0,10.0,10.0,10.0,5.0,18.0
258,11.0,9.0,11.0,11.0,4.0,19.0
259,10.0,10.0,10.0,10.0,5.0,19.0
260,9.0,9.0,10.0,10.0,3.0,16.0
261,13.0,11.0,12.0,12.0,6.0,19.0
262,10.0,9.0,9.0,9.0,4.0,18.0
263,12.0,10.0,11.0,11.0,5.0,18.0
264,11.0,9.0,9.0,9.0,5.0,20.0
265,11.0,9.0,10.0,10.0,5.0,20.0
266,10.0,10.0,11.0,11.0,6.0,18.0
267,12.0,9.0,9.0,9.0,7.0,17.0
268,11.0,10.0,10.0,10.0,5.0,19.0
269,12.0,10.0,12.0,12.0,4.0,19.0
270,10.0,8.0,8.0,8.0,5.0,18.0
271,10.0,10.0,10.0,10.0,5.0,19.0
272,12.0,10.0,11.0,11.0,5.0,19.0
273,11.0,9.0,9.0,9.0,4.0,20.0
274,10.0,9.0,9.0,9.0,5.0,18.0
275,8.0,7.0,8.0,8.0,5.0,18.0
276,11.0,10.0,10.0,10.0,5.0,19.0
277,12.0,10.0,10.0,10.0,5.0,20.0
278,10.0,9.0,9.0,9.0,5.0,17.0
279,10.0,10.0,11.0,11.0,5.0,20.0
280,12.0,10.0,10.0,10.0,5.0,19.0
281,11.0,11.0,12.0,12.0,6.0,20.0
282,11.0,10.0,10.0,10.0,6.0,18.0
283,10.0,10.0,10.0,10.0,5.0,21.0
284,10.0,10.0,10.0,10.0,5.0,19.0
285,10.0,10.0,10.0,10.0,6.0,18.0
286,10.0,10.0,10.0,10.0,5.0,19.0
287,6.0,5.0,7.0,7.0,4.0,17.0
288,12.0,10.0,11.0,11.0,5.0,19.0
289,11.0,10.0,9.0,9.0,5.0,19.0
290,11.0,11.0,11.0,11.0,5.0,23.0
291,10.0,8.0,9.0,9.0,4.0,20.0
292,11.0,10.0,10.0,10.0,4.0,18.0
293,11.0,9.0,10.0,10.0,5.0,19.0
294,10.0,10.0,10.0,10.0,4.0,19.0
295,10.0,10.0,10.0,10.0,5.0,21.0
296,12.0,9.0,10.0,10.0,6.0,18.0
297,10.0,10.0,10.0,10.0,4.0,17.0
298,11.0,9.0,9.0,9.0,5.0,19.0
299,11.0,9.0,11.0,11.0,6.0,21.0
300,10.0,10.0,10.0,10.0,5.0,20.0
301,10.0,9.0,9.0,9.0,4.0,21.0
302,10.0,8.0,8.0,8.0,5.0,18.0
303,10.0,9.0,9.0,9.0,5.0,18.0
304,12.0,10.0,10.0,10.0,6.0,21.0
305,13.0,10.0,12.0,12.0,6.0,21.0
306,11.0,10.0,11.0,11.0,5.0,18.0
307,10.0,8.0,9.0,9.0,4.0,19.0
308,10.0,9.0,9.0,9.0,5.0,19.0
309,11.0,9.0,10.0,10.0,4.0,20.0
310,11.0,9.0,10.0,10.0,6.0,21.0
311,10.0,10.0,10.0,10.0,5.0,21.0
312,11.0,9.0,9.0,9.0,5.0,20.0
313,11.0,10.0,11.0,11.0,5.0,19.0
314,10.0,9.0,9.0,9.0,5.0,19.0
315,12.0,9.0,10.0,10.0,8.0,20.0
316,10.0,9.0,9.0,9.0,6.0,19.0
317,11.0,10.0,10.0,10.0,5.0,21.0
318,14.0,11.0,12.0,12.0,9.0,20.0
319,13.0,11.0,12.0,12.0,5.0,22.0
320,11.0,9.0,11.0,11.0,5.0,19.0
321,11.0,9.0,9.0,9.0,5.0,18.0
322,12.0,10.0,12.0,12.0,6.0,19.0
323,12.0,11.0,12.0,12.0,5.0,19.0
324,11.0,10.0,11.0,11.0,5.0,19.0
325,12.0,10.0,11.0,11.0,6.0,19.0
326,12.0,10.0,12.0,12.0,5.0,21.0
327,12.0,10.0,12.0,12.0,7.0,20.0
328,11.0,9.0,9.0,9.0,6.0,20.0
329,9.0,7.0,7.0,7.0,4.0,19.0
330,10.0,10.0,10.0,10.0,6.0,18.0
331,11.0,10.0,12.0,12.0,5.0,22.0
332,12.0,10.0,11.0,11.0,5.0,19.0
333,11.0,10.0,10.0,10.0,5.0,19.0
334,11.0,10.0,12.0,12.0,6.0,21.0
335,10.0,9.0,9.0,9.0,4.0,18.0
336,10.0,9.0,10.0,10.0,5.0,19.0
337,12.0,9.0,10.0,10.0,7.0,21.0
338,11.0,9.0,10.0,10.0,4.0,18.0
339,10.0,9.0,9.0,9.0,5.0,18.0
340,11.0,11.0,11.0,11.0,8.0,20.0
341,10.0,9.0,10.0,10.0,6.0,20.0
342,11.0,9.0,10.0,10.0,5.0,19.0
343,11.0,10.0,11.0,11.0,4.0,20.0
344,10.0,9.0,10.0,10.0,5.0,19.0
345,10.0,10.0,10.0,10.0,6.0,19.0
346,10.0,10.0,11.0,11.0,6.0,19.0
