,none,gain,threshold,time constant,max rate
0,3.0,4.0,2.0,3.0,3.0
1,2.0,2.0,2.0,2.0,2.0
2,5.0,4.0,2.0,5.0,5.0
3,4.0,5.0,4.0,3.0,4.0
4,5.0,5.0,2.0,5.0,5.0
5,1.0,1.0,1.0,1.0,1.0
6,4.0,4.0,4.0,4.0,4.0
7,1.0,5.0,1.0,1.0,1.0
8,6.0,6.0,4.0,5.0,6.0
9,1.0,1.0,4.0,1.0,1.0
10,5.0,4.0,5.0,5.0,5.0
11,7.0,4.0,8.0,9.0,7.0
12,5.0,5.0,3.0,5.0,5.0
13,4.0,4.0,2.0,4.0,4.0
14,1.0,4.0,0.0,1.0,1.0
15,2.0,2.0,3.0,2.0,2.0
16,3.0,4.0,2.0,3.0,3.0
17,2.0,4.0,2.0,2.0,2.0
18,8.0,4.0,5.0,8.0,8.0
19,4.0,4.0,3.0,5.0,4.0
20,2.0,3.0,2.0,2.0,2.0
21,4.0,2.0,6.0,5.0,4.0
22,3.0,3.0,4.0,3.0,3.0
23,0.0,3.0,0.0,0.0,0.0
24,2.0,3.0,3.0,2.0,2.0
25,6.0,5.0,6.0,6.0,6.0
26,1.0,3.0,0.0,1.0,1.0
27,6.0,6.0,5.0,6.0,6.0
28,1.0,2.0,2.0,1.0,1.0
29,9.0,6.0,7.0,9.0,9.0
30,2.0,2.0,2.0,3.0,2.0
31,3.0,2.0,3.0,3.0,3.0
32,6.0,6.0,7.0,5.0,6.0
33,4.0,3.0,3.0,4.0,4.0
34,1.0,1.0,5.0,1.0,1.0
35,3.0,4.0,1.0,3.0,3.0
36,0.0,2.0,0.0,0.0,0.0
37,1.0,1.0,3.0,1.0,1.0
38,7.0,4.0,7.0,5.0,7.0
39,6.0,5.0,4.0,6.0,6.0
40,4.0,3.0,4.0,4.0,4.0
41,0.0,0.0,2.0,0.0,0.0
42,3.0,3.0,1.0,3.0,3.0
43,3.0,4.0,4.0,3.0,3.0
44,4.0,1.0,4.0,4.0,4.0
45,2.0,1.0,4.0,2.0,2.0
46,0.0,2.0,1.0,0.0,0.0
47,1.0,1.0,1.0,1.0,1.0
48,5.0,5.0,4.0,6.0,5.0
49,0.0,2.0,0.0,0.0,0.0
50,7.0,3.0,7.0,7.0,7.0
51,4.0,2.0,2.0,8.0,4.0
52,3.0,3.0,3.0,2.0,3.0
53,8.0,4.0,5.0,7.0,8.0
54,6.0,5.0,4.0,5.0,6.0
55,1.0,1.0,2.0,2.0,1.0
56,3.0,2.0,3.0,3.0,3.0
57,2.0,2.0,3.0,2.0,2.0
58,2.0,3.0,2.0,3.0,2.0
59,2.0,2.0,2.0,2.0,2.0
60,2.0,2.0,2.0,2.0,2.0
61,4.0,4.0,5.0,4.0,4.0
62,5.0,5.0,4.0,5.0,5.0
63,0.0,2.0,1.0,0.0,0.0
64,3.0,3.0,3.0,3.0,3.0
65,3.0,3.0,3.0,3.0,3.0
66,3.0,3.0,6.0,4.0,3.0
67,4.0,4.0,4.0,4.0,4.0
68,3.0,3.0,2.0,3.0,3.0
69,2.0,2.0,2.0,2.0,2.0
70,5.0,4.0,4.0,6.0,5.0
71,2.0,2.0,2.0,2.0,2.0
72,0.0,1.0,0.0,0.0,0.0
73,0.0,1.0,2.0,0.0,0.0
74,11.0,3.0,9.0,9.0,11.0
75,3.0,3.0,4.0,3.0,3.0
76,5.0,2.0,8.0,3.0,5.0
77,3.0,3.0,3.0,4.0,3.0
78,3.0,3.0,3.0,3.0,3.0
79,1.0,1.0,2.0,1.0,1.0
80,4.0,3.0,4.0,3.0,4.0
81,2.0,2.0,2.0,4.0,2.0
82,3.0,3.0,3.0,3.0,3.0
83,0.0,0.0,0.0,0.0,0.0
84,3.0,3.0,3.0,3.0,3.0
85,2.0,2.0,2.0,2.0,2.0
86,4.0,4.0,5.0,4.0,4.0
87,1.0,5.0,2.0,1.0,1.0
88,4.0,5.0,3.0,4.0,4.0
89,1.0,2.0,2.0,1.0,1.0
90,4.0,1.0,5.0,5.0,4.0
91,5.0,4.0,3.0,5.0,5.0
92,2.0,2.0,2.0,2.0,2.0
93,2.0,2.0,4.0,2.0,2.0
94,7.0,5.0,4.0,6.0,7.0
95,2.0,2.0,2.0,2.0,2.0
96,11.0,7.0,8.0,10.0,11.0
97,1.0,2.0,0.0,1.0,1.0
98,0.0,2.0,0.0,0.0,0.0
99,1.0,2.0,1.0,1.0,1.0
100,2.0,1.0,3.0,2.0,2.0
101,4.0,2.0,2.0,4.0,4.0
102,2.0,3.0,2.0,2.0,2.0
103,4.0,4.0,3.0,4.0,4.0
104,3.0,2.0,5.0,3.0,3.0
105,1.0,2.0,1.0,1.0,1.0
106,2.0,3.0,2.0,3.0,2.0
107,3.0,3.0,4.0,1.0,3.0
108,2.0,5.0,2.0,2.0,2.0
109,1.0,1.0,2.0,1.0,1.0
110,0.0,0.0,0.0,0.0,0.0
111,6.0,6.0,6.0,6.0,6.0
112,3.0,3.0,3.0,3.0,3.0
113,1.0,2.0,2.0,1.0,1.0
114,4.0,3.0,4.0,3.0,4.0
115,1.0,1.0,0.0,1.0,1.0
116,9.0,4.0,1.0,8.0,9.0
117,2.0,4.0,3.0,2.0,2.0
118,0.0,3.0,0.0,0.0,0.0
119,4.0,3.0,3.0,4.0,4.0
120,0.0,1.0,0.0,0.0,0.0
121,1.0,4.0,2.0,1.0,1.0
122,8.0,3.0,9.0,7.0,8.0
123,5.0,5.0,5.0,5.0,5.0
124,4.0,2.0,5.0,4.0,4.0
125,0.0,3.0,3.0,0.0,0.0
126,1.0,1.0,0.0,1.0,1.0
127,3.0,3.0,3.0,3.0,3.0
128,1.0,3.0,2.0,1.0,1.0
129,0.0,2.0,0.0,0.0,0.0
130,1.0,2.0,0.0,1.0,1.0
131,8.0,4.0,4.0,8.0,8.0
132,2.0,2.0,2.0,3.0,2.0
133,1.0,3.0,0.0,1.0,1.0
134,5.0,2.0,4.0,5.0,5.0
135,0.0,2.0,0.0,0.0,0.0
136,2.0,2.0,2.0,2.0,2.0
137,2.0,2.0,2.0,2.0,2.0
138,5.0,4.0,4.0,6.0,5.0
139,10.0,7.0,8.0,10.0,10.0
140,0.0,1.0,0.0,0.0,0.0
141,3.0,3.0,2.0,3.0,3.0
142,2.0,2.0,2.0,2.0,2.0
143,3.0,3.0,3.0,3.0,3.0
144,4.0,4.0,3.0,4.0,4.0
145,3.0,2.0,2.0,3.0,3.0
146,2.0,2.0,2.0,2.0,2.0
147,9.0,6.0,6.0,8.0,9.0
148,5.0,3.0,3.0,5.0,5.0
149,1.0,2.0,0.0,1.0,1.0
150,0.0,0.0,1.0,0.0,0.0
151,6.0,6.0,6.0,6.0,6.0
152,3.0,4.0,2.0,3.0,3.0
153,1.0,2.0,3.0,1.0,1.0
154,7.0,5.0,8.0,7.0,7.0
155,1.0,1.0,2.0,1.0,1.0
156,3.0,2.0,3.0,4.0,3.0
157,6.0,3.0,2.0,8.0,6.0
158,0.0,1.0,0.0,0.0,0.0
159,2.0,4.0,1.0,2.0,2.0
160,9.0,3.0,6.0,7.0,9.0
161,0.0,2.0,0.0,0.0,0.0
162,2.0,2.0,2.0,2.0,2.0
163,5.0,4.0,3.0,6.0,5.0
164,3.0,3.0,2.0,4.0,3.0
165,5.0,4.0,3.0,4.0,5.0
166,4.0,3.0,2.0,4.0,4.0
167,3.0,4.0,2.0,2.0,3.0
168,5.0,3.0,4.0,4.0,5.0
169,14.0,4.0,13.0,13.0,14.0
170,4.0,4.0,3.0,4.0,4.0
171,0.0,2.0,3.0,0.0,0.0
172,3.0,2.0,3.0,3.0,3.0
173,5.0,5.0,4.0,5.0,5.0
174,4.0,4.0,3.0,7.0,4.0
175,2.0,4.0,0.0,1.0,2.0
176,4.0,4.0,4.0,4.0,4.0
177,3.0,2.0,5.0,5.0,3.0
178,0.0,2.0,0.0,0.0,0.0
179,4.0,3.0,4.0,3.0,4.0
180,4.0,4.0,3.0,4.0,4.0
181,1.0,2.0,1.0,1.0,1.0
182,1.0,2.0,2.0,1.0,1.0
183,2.0,2.0,3.0,2.0,2.0
184,5.0,3.0,4.0,4.0,5.0
185,0.0,2.0,2.0,0.0,0.0
186,3.0,3.0,2.0,3.0,3.0
187,4.0,2.0,4.0,5.0,4.0
188,8.0,4.0,5.0,9.0,8.0
189,63.0,2.0,8.0,70.0,63.0
190,0.0,1.0,2.0,0.0,0.0
191,3.0,3.0,3.0,4.0,3.0
192,2.0,3.0,2.0,2.0,2.0
193,4.0,5.0,3.0,4.0,4.0
194,0.0,0.0,1.0,0.0,0.0
195,3.0,3.0,4.0,3.0,3.0
196,2.0,2.0,3.0,2.0,2.0
197,0.0,2.0,0.0,0.0,0.0
198,2.0,1.0,3.0,3.0,2.0
199,1.0,1.0,2.0,1.0,1.0
200,2.0,3.0,0.0,2.0,2.0
201,3.0,3.0,3.0,3.0,3.0
202,1.0,2.0,2.0,1.0,1.0
203,3.0,2.0,4.0,3.0,3.0
204,0.0,1.0,0.0,0.0,0.0
205,6.0,5.0,5.0,6.0,6.0
206,1.0,1.0,2.0,1.0,1.0
207,4.0,4.0,3.0,4.0,4.0
208,0.0,1.0,1.0,0.0,0.0
209,4.0,3.0,7.0,5.0,4.0
210,2.0,2.0,1.0,2.0,2.0
211,1.0,1.0,3.0,1.0,1.0
212,4.0,3.0,3.0,4.0,4.0
213,0.0,1.0,0.0,0.0,0.0
214,8.0,5.0,5.0,8.0,8.0
215,3.0,3.0,4.0,3.0,3.0
216,3.0,3.0,3.0,3.0,3.0
217,3.0,4.0,2.0,3.0,3.0
218,7.0,6.0,7.0,6.0,7.0
219,3.0,3.0,2.0,3.0,3.0
220,0.0,1.0,0.0,0.0,0.0
221,2.0,3.0,1.0,2.0,2.0
222,3.0,2.0,3.0,3.0,3.0
223,0.0,6.0,0.0,0.0,0.0
224,2.0,2.0,3.0,2.0,2.0
225,4.0,3.0,3.0,4.0,4.0
226,3.0,5.0,4.0,3.0,3.0
227,2.0,2.0,2.0,3.0,2.0
228,3.0,3.0,4.0,3.0,3.0
229,3.0,4.0,2.0,3.0,3.0
230,1.0,2.0,2.0,1.0,1.0
231,2.0,1.0,2.0,2.0,2.0
232,3.0,3.0,2.0,3.0,3.0
233,4.0,5.0,4.0,5.0,4.0
234,2.0,2.0,2.0,2.0,2.0
235,3.0,3.0,2.0,3.0,3.0
236,12.0,2.0,5.0,13.0,12.0
237,1.0,2.0,2.0,2.0,1.0
238,2.0,2.0,4.0,2.0,2.0
239,5.0,4.0,4.0,6.0,5.0
240,3.0,4.0,4.0,3.0,3.0
241,4.0,3.0,2.0,4.0,4.0
242,4.0,2.0,2.0,4.0,4.0
243,6.0,6.0,6.0,6.0,6.0
244,1.0,2.0,2.0,1.0,1.0
245,9.0,6.0,6.0,8.0,9.0
246,5.0,5.0,6.0,5.0,5.0
247,9.0,6.0,8.0,9.0,9.0
248,3.0,3.0,3.0,3.0,3.0
249,2.0,2.0,2.0,2.0,2.0
250,3.0,0.0,4.0,3.0,3.0
251,2.0,2.0,4.0,3.0,2.0
252,2.0,2.0,2.0,2.0,2.0
253,0.0,1.0,0.0,0.0,0.0
254,3.0,3.0,3.0,3.0,3.0
255,0.0,1.0,0.0,0.0,0.0
256,4.0,3.0,3.0,4.0,4.0
257,4.0,2.0,3.0,4.0,4.0
258,1.0,1.0,2.0,1.0,1.0
259,5.0,5.0,4.0,5.0,5.0
