,180,220,260,300,340
0,14.0,75.0,106.0,132.0,164.0
1,15.0,79.0,110.0,139.0,169.0
2,14.0,56.0,82.0,101.0,137.0
3,16.0,68.0,95.0,108.0,136.0
4,18.0,72.0,96.0,133.0,164.0
5,18.0,76.0,97.0,121.0,152.0
6,15.0,68.0,99.0,118.0,146.0
7,20.0,70.0,103.0,129.0,159.0
8,11.0,58.0,90.0,110.0,131.0
9,18.0,75.0,108.0,143.0,163.0
10,10.0,20.0,65.0,84.0,111.0
11,41.0,85.0,113.0,143.0,174.0
12,42.0,84.0,107.0,129.0,166.0
13,18.0,55.0,83.0,106.0,125.0
14,21.0,86.0,118.0,139.0,166.0
15,13.0,63.0,93.0,119.0,144.0
16,10.0,22.0,77.0,100.0,118.0
17,60.0,94.0,127.0,167.0,195.0
18,15.0,59.0,84.0,100.0,122.0
19,25.0,72.0,101.0,129.0,153.0
20,13.0,26.0,84.0,105.0,122.0
21,10.0,28.0,80.0,109.0,134.0
22,21.0,74.0,104.0,126.0,158.0
23,48.0,92.0,123.0,149.0,190.0
24,15.0,51.0,93.0,117.0,142.0
25,17.0,61.0,83.0,114.0,132.0
26,11.0,72.0,97.0,119.0,141.0
27,10.0,23.0,54.0,78.0,98.0
28,21.0,77.0,93.0,125.0,166.0
29,48.0,85.0,116.0,141.0,189.0
30,9.0,43.0,75.0,100.0,116.0
31,14.0,71.0,102.0,125.0,169.0
32,10.0,60.0,98.0,119.0,144.0
33,41.0,73.0,94.0,116.0,133.0
34,22.0,75.0,105.0,136.0,184.0
35,20.0,71.0,95.0,117.0,139.0
36,41.0,82.0,105.0,133.0,159.0
37,8.0,21.0,70.0,89.0,109.0
38,21.0,83.0,106.0,128.0,161.0
39,21.0,80.0,111.0,127.0,159.0
40,18.0,80.0,106.0,132.0,165.0
41,23.0,86.0,108.0,131.0,160.0
42,15.0,75.0,98.0,124.0,159.0
43,17.0,91.0,116.0,145.0,169.0
44,16.0,68.0,99.0,123.0,169.0
45,16.0,70.0,105.0,127.0,163.0
46,17.0,85.0,110.0,137.0,184.0
47,14.0,68.0,102.0,131.0,153.0
48,11.0,56.0,91.0,114.0,135.0
49,20.0,79.0,106.0,132.0,165.0
50,20.0,72.0,103.0,129.0,153.0
51,11.0,24.0,91.0,110.0,132.0
52,20.0,68.0,94.0,124.0,155.0
53,12.0,55.0,90.0,116.0,141.0
54,10.0,25.0,65.0,91.0,111.0
55,14.0,49.0,90.0,111.0,137.0
56,16.0,68.0,94.0,126.0,149.0
57,16.0,76.0,102.0,121.0,161.0
58,22.0,86.0,114.0,148.0,182.0
59,8.0,48.0,84.0,107.0,128.0
60,11.0,61.0,96.0,121.0,148.0
61,12.0,54.0,85.0,110.0,138.0
62,13.0,60.0,90.0,112.0,134.0
63,18.0,78.0,104.0,129.0,157.0
64,16.0,72.0,107.0,137.0,163.0
65,13.0,51.0,80.0,105.0,132.0
66,15.0,74.0,99.0,129.0,152.0
67,12.0,61.0,85.0,119.0,146.0
68,12.0,60.0,86.0,114.0,145.0
69,9.0,20.0,70.0,94.0,112.0
70,25.0,86.0,104.0,145.0,177.0
71,15.0,73.0,96.0,120.0,157.0
72,19.0,55.0,81.0,105.0,132.0
73,22.0,76.0,106.0,135.0,183.0
74,15.0,61.0,93.0,121.0,148.0
75,13.0,64.0,89.0,111.0,139.0
76,23.0,81.0,109.0,132.0,187.0
77,6.0,18.0,72.0,93.0,116.0
78,15.0,68.0,96.0,116.0,137.0
79,9.0,55.0,88.0,112.0,131.0
80,16.0,78.0,103.0,131.0,160.0
81,8.0,22.0,74.0,96.0,126.0
82,49.0,94.0,125.0,143.0,184.0
83,12.0,46.0,82.0,105.0,122.0
84,12.0,60.0,94.0,119.0,144.0
85,37.0,76.0,109.0,134.0,170.0
86,41.0,79.0,100.0,128.0,159.0
87,13.0,67.0,91.0,110.0,135.0
88,20.0,74.0,102.0,129.0,161.0
89,17.0,65.0,97.0,117.0,151.0
90,48.0,90.0,115.0,158.0,205.0
91,28.0,87.0,112.0,143.0,176.0
92,21.0,72.0,100.0,129.0,159.0
93,18.0,73.0,103.0,134.0,165.0
94,12.0,26.0,78.0,105.0,128.0
95,14.0,57.0,84.0,109.0,131.0
96,14.0,50.0,82.0,99.0,129.0
