,180,220,260,300,340
0,0,2,3,3,5
1,0,2,5,8,8
2,0,2,2,2,5
3,0,2,3,3,3
4,0,2,3,3,6
5,0,2,2,3,4
6,0,2,3,3,5
7,0,3,4,4,7
8,0,2,2,3,3
9,0,2,2,6,7
10,0,0,2,2,4
11,1,3,4,7,8
12,1,2,2,3,6
13,0,2,2,2,3
14,0,3,3,7,8
15,0,2,2,3,6
16,0,0,2,3,3
17,2,3,4,7,7
18,0,2,2,3,3
19,1,4,5,5,8
20,0,0,3,3,3
21,0,1,4,5,4
22,0,2,3,3,7
23,3,5,6,9,9
24,0,2,3,4,4
25,0,3,3,3,3
26,0,2,3,3,5
27,0,0,3,3,3
28,0,2,2,4,6
29,2,2,2,4,6
30,0,1,2,3,4
31,0,3,3,4,6
32,0,3,3,3,5
33,2,2,2,2,2
34,0,2,2,2,5
35,0,2,3,3,7
36,1,3,3,5,7
37,0,0,2,2,3
38,0,3,3,5,8
39,0,2,3,4,7
40,0,3,4,4,7
41,0,4,4,5,7
42,0,3,3,4,7
43,1,3,4,7,8
44,0,2,3,3,5
45,0,3,3,4,7
46,0,2,3,7,8
47,0,2,2,4,6
48,0,3,4,4,5
49,0,2,3,5,6
50,0,3,4,4,6
51,0,0,3,5,5
52,0,2,2,3,6
53,0,2,2,4,8
54,0,0,1,3,3
55,1,2,3,3,5
56,0,2,2,4,7
57,0,2,2,3,5
58,0,2,5,7,9
59,0,2,3,5,6
60,0,2,2,5,9
61,0,2,2,3,5
62,0,2,3,4,5
63,0,2,4,6,8
64,0,2,4,5,7
65,0,1,3,3,4
66,0,2,3,5,8
67,0,2,2,3,6
68,0,2,2,2,4
69,0,0,2,2,3
70,0,3,4,6,9
71,0,2,2,2,5
72,0,2,2,2,3
73,0,3,3,3,8
74,0,2,2,5,6
75,0,2,2,2,5
76,0,2,2,5,6
77,0,0,2,2,4
78,0,2,3,3,3
79,0,2,2,3,5
80,0,2,3,6,8
81,0,0,2,3,5
82,2,3,6,6,9
83,0,2,3,4,4
84,0,2,3,5,5
85,1,2,3,3,6
86,1,2,3,5,7
87,0,2,2,3,5
88,0,2,2,5,8
89,0,2,3,4,5
90,1,2,2,7,8
91,0,3,3,4,6
92,0,2,3,5,8
93,1,3,4,5,7
94,0,0,3,4,5
95,0,2,3,3,4
96,0,2,2,2,2
97,0,3,4,4,5
98,0,2,3,3,3
99,0,2,2,2,2
100,0,3,3,5,6
101,0,1,2,2,2
102,0,3,3,5,7
103,0,1,3,4,6
104,0,2,4,4,5
105,0,2,2,2,4
106,0,2,3,4,4
107,2,2,2,2,3
108,0,3,3,5,7
109,0,2,2,3,4
110,0,2,5,7,9
111,2,3,3,7,9
112,0,2,3,3,3
113,1,4,5,8,10
114,2,3,5,6,6
115,0,3,3,4,5
116,0,2,3,3,6
117,0,2,2,3,5
118,0,2,5,6,8
119,0,2,2,5,5
120,1,3,3,6,7
121,0,0,2,3,3
122,0,1,3,3,4
123,0,2,4,6,8
124,0,2,3,6,7
125,2,3,3,7,9
126,1,3,4,6,8
127,2,2,3,3,6
128,0,1,2,3,5
129,2,2,2,6,8
130,0,2,2,3,4
131,0,2,3,3,3
132,0,2,3,3,7
133,0,3,3,4,6
134,0,2,2,2,4
135,1,2,4,5,6
136,1,4,5,5,9
137,0,2,3,4,7
138,0,2,2,2,5
139,2,3,3,5,6
140,0,2,4,6,7
141,1,3,4,5,7
142,0,3,4,5,9
143,0,1,2,2,2
144,0,2,3,3,5
145,0,2,2,3,4
146,0,2,2,4,6
147,0,2,2,2,2
148,0,2,2,3,5
149,0,2,2,2,5
150,0,2,3,3,5
151,0,2,3,4,5
152,0,2,3,3,3
153,0,2,3,3,4
154,0,2,2,5,7
155,0,2,3,4,6
156,0,3,3,5,7
157,0,2,3,3,4
158,0,2,2,2,4
159,0,2,3,6,6
160,0,3,4,4,8
161,2,3,3,6,9
162,0,2,3,3,4
163,0,2,2,3,4
164,0,3,4,4,6
165,0,2,2,2,3
166,0,2,4,5,5
167,0,2,2,2,5
168,0,2,3,4,7
169,0,3,3,5,6
170,1,2,3,4,5
171,0,1,2,2,4
172,0,2,3,3,3
173,0,2,3,4,7
174,0,2,3,5,8
175,0,0,2,2,2
176,0,2,4,4,5
177,0,0,2,3,4
178,0,2,4,6,8
179,2,2,2,5,6
180,0,2,2,5,7
181,0,3,3,4,7
182,0,2,4,4,5
183,0,3,3,3,8
184,0,2,3,4,5
185,0,2,5,5,7
186,0,1,2,2,4
187,0,4,4,5,7
188,0,1,4,5,5
189,0,3,3,5,7
190,0,2,4,5,6
191,0,2,2,4,5
192,0,2,3,5,7
193,0,2,3,3,3
194,0,0,2,3,3
195,0,2,2,3,5
196,0,2,3,4,5
197,0,2,4,5,5
198,0,2,3,3,6
199,2,4,8,8,9
200,0,2,2,2,4
201,0,2,2,3,5
202,0,1,3,3,3
203,0,3,3,5,7
