achB,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.01333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675,0.0675
gabaB,0.01333,0.01333,0.01333,0.01333,0.01333,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.0675,0.0675,0.0675,0.0675,0.0675,0.01333,0.01333,0.01333,0.01333,0.01333,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.0675,0.0675,0.0675,0.0675,0.0675,0.01333,0.01333,0.01333,0.01333,0.01333,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.0675,0.0675,0.0675,0.0675,0.0675,0.01333,0.01333,0.01333,0.01333,0.01333,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.0675,0.0675,0.0675,0.0675,0.0675,0.01333,0.01333,0.01333,0.01333,0.01333,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.0675,0.0675,0.0675,0.0675,0.0675
gluB,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675,0.01333,0.02,0.03,0.045,0.0675
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,14,14,14,14,15,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,132,97,82,76,67,89,82,78,70,65,73,70,71,65,60,62,63,65,60,49,55,62,56,43,31,2794,2572,2322,2148,158,2356,2268,427,194,126,1910,266,190,138,114,197,164,143,125,104,164,146,136,114,99,3087,3016,2906,2683,2438,2942,2879,2731,2497,2232,0,2539,2487,2173,0,2272,,,,,,,,,
1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21,19,18,17,17,20,19,18,17,17,18,18,18,17,17,18,18,18,17,17,18,18,18,17,17,165,129,111,96,86,117,106,99,92,84,98,92,89,85,81,81,80,81,81,71,73,70,75,67,58,2795,2582,2324,2213,200,2386,2238,652,236,178,1772,2255,224,181,154,320,191,169,156,147,298,173,162,145,132,3082,3012,2920,2651,2449,2956,2883,2728,2496,2275,0,2573,2486,2204,0,2210,,,,,,,,,
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,15,14,14,14,15,15,14,14,14,15,15,14,14,14,15,15,13,13,13,14,14,13,13,13,217,154,117,97,84,128,115,101,93,81,101,100,94,85,79,94,90,83,80,74,86,82,79,72,63,2789,2604,2357,2194,232,2443,2292,2096,289,182,1948,1865,284,196,143,285,215,171,146,130,180,167,150,134,121,3087,3018,2922,2665,2438,2957,2882,2730,2518,2365,0,2600,2425,2307,0,2407,,,,,,,,,
3,9,9,8,8,8,9,9,8,8,8,9,9,8,8,8,9,9,8,8,8,9,9,8,8,8,27,26,26,21,21,26,25,22,21,21,23,22,22,21,20,22,22,21,20,20,21,21,20,18,18,164,131,110,98,90,124,113,101,91,84,107,98,94,86,80,95,87,93,78,68,92,88,77,61,55,2808,2579,2333,412,212,2389,2261,2255,277,180,1868,394,283,202,160,2183,374,212,170,152,396,323,191,162,130,3091,3012,2908,2674,2441,2958,2886,2735,2495,2303,0,2574,2442,2313,0,2260,,,,,,,,,
4,7,7,7,6,6,7,7,7,6,6,7,7,7,6,6,7,7,7,6,6,7,7,7,6,6,22,20,20,20,20,21,20,20,20,19,20,19,19,19,19,20,19,19,19,19,20,19,19,19,19,128,107,94,88,79,102,94,91,85,79,86,87,83,79,75,77,80,78,75,72,77,83,76,73,65,2791,2550,2280,265,170,2340,2195,285,186,151,2149,233,181,154,141,207,172,159,147,138,275,169,155,147,141,3092,3018,2923,2588,2438,2964,2889,2737,2491,2183,0,2551,2434,2150,0,2219,,,,,,,,,
5,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,35,22,20,20,19,20,20,20,20,18,20,20,20,19,18,20,20,19,18,17,20,19,18,17,17,159,132,107,100,87,122,110,98,91,83,106,97,91,84,79,87,89,82,77,71,83,83,79,66,60,2787,2558,2331,2243,258,2381,2280,2202,295,234,2111,1864,326,217,192,2219,405,219,188,179,549,354,201,171,139,3086,3016,2922,2613,2422,2956,2877,2736,2512,2440,0,2559,2435,2376,0,2222,,,,,,,,,
6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,23,21,21,21,22,22,21,21,21,22,22,21,21,21,22,22,21,21,21,22,22,19,19,19,160,126,100,92,87,116,104,96,89,81,96,92,86,83,69,82,80,79,71,62,81,81,75,59,54,2805,2601,2323,280,167,2407,2251,2211,207,157,1859,1881,222,178,143,351,212,181,163,131,308,234,172,154,116,3082,3023,2918,2679,2426,2960,2885,2747,2497,2412,0,2597,2446,2255,0,2312,,,,,,,,,
