,180,220,260,300,340
0,2.0,6.0,6.0,6.0,7.0
1,6.0,6.0,6.0,8.0,9.0
2,3.0,6.0,6.0,8.0,10.0
3,2.0,6.0,6.0,6.0,9.0
4,6.0,6.0,6.0,7.0,10.0
5,6.0,6.0,6.0,9.0,11.0
6,2.0,6.0,6.0,7.0,8.0
7,2.0,6.0,6.0,7.0,9.0
8,2.0,6.0,6.0,7.0,11.0
9,1.0,6.0,6.0,6.0,6.0
10,2.0,5.0,6.0,6.0,7.0
11,2.0,6.0,6.0,6.0,9.0
12,3.0,6.0,6.0,7.0,8.0
13,3.0,6.0,6.0,8.0,11.0
14,2.0,6.0,6.0,8.0,9.0
15,2.0,6.0,6.0,8.0,9.0
16,3.0,6.0,6.0,7.0,8.0
17,3.0,6.0,6.0,6.0,7.0
18,2.0,6.0,6.0,7.0,10.0
19,2.0,6.0,6.0,6.0,9.0
20,6.0,6.0,6.0,8.0,11.0
21,2.0,6.0,6.0,6.0,9.0
22,6.0,6.0,7.0,9.0,10.0
23,2.0,6.0,6.0,6.0,9.0
24,5.0,6.0,7.0,10.0,11.0
25,2.0,6.0,6.0,7.0,8.0
26,2.0,6.0,6.0,6.0,10.0
27,1.0,5.0,6.0,6.0,9.0
28,2.0,6.0,6.0,8.0,11.0
29,4.0,6.0,6.0,9.0,11.0
30,5.0,6.0,6.0,9.0,10.0
31,1.0,6.0,6.0,6.0,8.0
32,3.0,6.0,6.0,8.0,10.0
33,2.0,5.0,6.0,7.0,8.0
34,2.0,6.0,6.0,7.0,8.0
35,2.0,6.0,6.0,6.0,7.0
36,2.0,6.0,6.0,7.0,7.0
37,2.0,6.0,6.0,7.0,8.0
38,2.0,6.0,6.0,7.0,9.0
39,2.0,5.0,6.0,6.0,8.0
40,2.0,6.0,6.0,6.0,7.0
41,3.0,6.0,6.0,7.0,9.0
42,3.0,6.0,6.0,7.0,8.0
43,2.0,6.0,6.0,6.0,11.0
44,2.0,6.0,6.0,7.0,10.0
45,2.0,6.0,6.0,6.0,8.0
46,5.0,6.0,6.0,6.0,10.0
47,1.0,6.0,6.0,6.0,7.0
48,2.0,6.0,6.0,7.0,7.0
49,2.0,6.0,6.0,6.0,8.0
50,2.0,6.0,6.0,7.0,11.0
51,5.0,6.0,7.0,8.0,11.0
52,2.0,6.0,6.0,8.0,11.0
53,5.0,6.0,7.0,8.0,11.0
54,6.0,6.0,6.0,10.0,11.0
55,3.0,6.0,6.0,6.0,9.0
56,2.0,6.0,6.0,6.0,8.0
57,2.0,6.0,6.0,8.0,10.0
58,2.0,6.0,6.0,6.0,10.0
59,2.0,6.0,6.0,6.0,10.0
60,3.0,6.0,6.0,7.0,8.0
61,2.0,6.0,7.0,8.0,11.0
62,2.0,6.0,6.0,8.0,10.0
63,2.0,6.0,6.0,7.0,8.0
64,3.0,6.0,6.0,8.0,11.0
65,1.0,6.0,6.0,6.0,9.0
66,2.0,6.0,6.0,6.0,7.0
67,3.0,6.0,6.0,7.0,10.0
68,1.0,6.0,6.0,6.0,6.0
69,2.0,6.0,6.0,6.0,8.0
70,1.0,5.0,6.0,6.0,6.0
71,4.0,6.0,6.0,7.0,9.0
72,2.0,6.0,7.0,8.0,10.0
73,2.0,6.0,6.0,8.0,10.0
74,6.0,6.0,7.0,9.0,12.0
75,3.0,6.0,6.0,7.0,11.0
76,4.0,6.0,6.0,7.0,10.0
77,5.0,6.0,6.0,7.0,8.0
78,2.0,6.0,6.0,8.0,11.0
79,5.0,6.0,6.0,8.0,9.0
80,2.0,5.0,6.0,6.0,8.0
81,5.0,6.0,6.0,8.0,11.0
82,3.0,6.0,7.0,8.0,10.0
83,1.0,6.0,6.0,6.0,8.0
84,4.0,6.0,7.0,8.0,11.0
85,3.0,6.0,6.0,6.0,9.0
86,3.0,6.0,6.0,8.0,10.0
87,2.0,6.0,6.0,7.0,8.0
88,6.0,6.0,7.0,12.0,12.0
89,3.0,6.0,6.0,7.0,9.0
90,2.0,6.0,6.0,6.0,9.0
91,6.0,6.0,7.0,10.0,11.0
92,6.0,6.0,7.0,9.0,11.0
93,3.0,6.0,6.0,10.0,11.0
94,6.0,6.0,8.0,9.0,12.0
