,180,220,260,300,340
0,0,2,2,2,3
1,2,2,2,3,4
2,0,2,2,4,5
3,0,2,2,2,4
4,2,2,2,2,5
5,2,2,2,4,6
6,0,2,2,2,3
7,0,2,2,3,4
8,0,2,2,3,6
9,0,2,2,2,2
10,0,1,2,2,3
11,0,2,2,2,4
12,0,2,2,3,3
13,0,2,2,3,6
14,0,2,2,3,4
15,0,2,2,3,4
16,0,2,2,3,3
17,0,2,2,2,3
18,0,2,2,3,5
19,0,2,2,2,4
20,2,2,2,3,6
21,0,2,2,2,4
22,2,2,3,4,5
23,0,2,2,2,4
24,1,2,3,5,6
25,0,2,2,2,3
26,0,2,2,2,6
27,0,1,2,2,4
28,0,2,2,3,6
29,0,2,2,4,6
30,1,2,2,4,5
31,0,2,2,2,4
32,0,2,2,4,5
33,0,1,2,3,3
34,0,2,2,3,3
35,0,2,2,2,3
36,0,2,2,3,3
37,0,2,2,3,3
38,0,2,2,3,4
39,0,1,2,2,3
40,0,2,2,2,2
41,0,2,2,3,4
42,0,2,2,3,3
43,0,2,2,2,6
44,0,2,2,2,5
45,0,2,2,2,3
46,1,2,2,2,5
47,0,2,2,2,3
48,0,2,2,3,3
49,0,2,2,2,3
50,0,2,2,3,6
51,1,2,3,4,6
52,0,2,2,3,6
53,1,2,3,4,6
54,2,2,2,5,6
55,0,2,2,2,4
56,0,2,2,2,4
57,0,2,2,4,5
58,0,2,2,2,5
59,0,2,2,2,5
60,0,2,2,3,4
61,0,2,3,3,6
62,0,2,2,4,5
63,0,2,2,3,3
64,0,2,2,3,6
65,0,2,2,2,5
66,0,2,2,2,3
67,0,2,2,3,5
68,0,2,2,2,2
69,0,2,2,2,3
70,0,1,2,2,2
71,1,2,2,3,4
72,0,2,2,3,5
73,0,2,2,3,5
74,2,2,3,4,7
75,0,2,2,3,6
76,0,2,2,3,5
77,1,2,2,3,4
78,0,2,2,3,6
79,1,2,2,3,4
80,0,1,2,2,3
81,1,2,2,3,6
82,0,2,2,3,5
83,0,2,2,2,3
84,1,2,2,3,6
85,0,2,2,2,4
86,0,2,2,4,5
87,0,2,2,3,3
