,none,E1,E2,I1
0,3.0,2.0,1.0,2.0
1,4.0,2.0,2.0,6.0
2,2.0,1.0,0.0,2.0
3,3.0,2.0,1.0,3.0
4,2.0,1.0,1.0,2.0
5,2.0,1.0,1.0,2.0
6,3.0,2.0,1.0,4.0
7,3.0,2.0,2.0,3.0
8,2.0,1.0,0.0,2.0
9,2.0,2.0,1.0,3.0
10,2.0,0.0,0.0,2.0
11,3.0,2.0,1.0,4.0
12,2.0,3.0,1.0,3.0
13,2.0,1.0,0.0,2.0
14,3.0,2.0,1.0,4.0
15,2.0,1.0,0.0,3.0
16,2.0,1.0,0.0,2.0
17,4.0,2.0,2.0,4.0
18,2.0,1.0,0.0,2.0
19,4.0,2.0,2.0,5.0
20,2.0,1.0,0.0,2.0
21,4.0,2.0,2.0,5.0
22,3.0,2.0,1.0,2.0
23,5.0,2.0,2.0,6.0
24,3.0,2.0,1.0,3.0
25,3.0,2.0,1.0,3.0
26,2.0,2.0,1.0,2.0
27,2.0,1.0,0.0,2.0
28,2.0,1.0,1.0,2.0
29,2.0,1.0,1.0,3.0
30,2.0,1.0,0.0,2.0
31,3.0,2.0,2.0,4.0
32,3.0,2.0,1.0,3.0
33,2.0,0.0,0.0,2.0
34,2.0,2.0,2.0,2.0
35,3.0,2.0,1.0,2.0
36,3.0,2.0,2.0,2.0
37,2.0,1.0,0.0,2.0
38,3.0,3.0,2.0,3.0
39,3.0,1.0,1.0,2.0
40,3.0,1.0,1.0,3.0
41,4.0,2.0,1.0,3.0
42,3.0,1.0,1.0,4.0
43,4.0,2.0,1.0,5.0
44,3.0,2.0,1.0,2.0
45,3.0,2.0,1.0,3.0
46,3.0,3.0,1.0,3.0
47,2.0,1.0,0.0,2.0
48,3.0,1.0,1.0,3.0
49,2.0,2.0,1.0,3.0
50,4.0,2.0,2.0,4.0
51,2.0,1.0,0.0,2.0
52,2.0,1.0,1.0,2.0
53,2.0,2.0,0.0,2.0
54,1.0,1.0,0.0,2.0
55,3.0,2.0,2.0,3.0
56,2.0,1.0,1.0,2.0
57,2.0,1.0,1.0,2.0
58,4.0,2.0,2.0,4.0
59,2.0,1.0,0.0,2.0
60,2.0,1.0,0.0,4.0
61,2.0,1.0,0.0,2.0
62,2.0,0.0,0.0,3.0
63,4.0,2.0,1.0,4.0
64,3.0,2.0,1.0,4.0
65,3.0,2.0,1.0,2.0
66,3.0,2.0,1.0,3.0
67,2.0,1.0,0.0,2.0
68,2.0,1.0,1.0,2.0
69,2.0,1.0,0.0,2.0
70,4.0,2.0,1.0,2.0
71,2.0,2.0,0.0,2.0
72,2.0,1.0,0.0,2.0
73,3.0,2.0,1.0,3.0
74,2.0,1.0,0.0,4.0
75,2.0,0.0,0.0,2.0
76,2.0,1.0,1.0,3.0
77,2.0,0.0,0.0,2.0
78,3.0,2.0,1.0,3.0
79,2.0,0.0,0.0,2.0
80,3.0,0.0,0.0,4.0
81,2.0,1.0,0.0,2.0
82,5.0,3.0,2.0,5.0
83,3.0,2.0,1.0,3.0
84,2.0,2.0,0.0,4.0
85,2.0,1.0,1.0,2.0
86,2.0,1.0,1.0,2.0
87,2.0,1.0,0.0,3.0
88,2.0,1.0,1.0,3.0
89,2.0,1.0,0.0,3.0
90,2.0,2.0,1.0,3.0
91,3.0,1.0,1.0,2.0
92,3.0,2.0,1.0,4.0
93,4.0,2.0,2.0,3.0
94,2.0,1.0,0.0,2.0
95,3.0,2.0,1.0,3.0
96,2.0,0.0,0.0,2.0
97,4.0,2.0,2.0,4.0
98,3.0,1.0,1.0,2.0
99,2.0,0.0,0.0,2.0
100,4.0,2.0,2.0,4.0
101,2.0,0.0,0.0,2.0
102,3.0,2.0,1.0,3.0
103,3.0,2.0,1.0,2.0
104,3.0,1.0,1.0,2.0
105,2.0,1.0,0.0,2.0
106,3.0,2.0,1.0,4.0
107,2.0,1.0,1.0,3.0
108,3.0,2.0,1.0,4.0
109,2.0,1.0,1.0,2.0
110,5.0,3.0,2.0,5.0
111,3.0,3.0,2.0,5.0
112,3.0,1.0,1.0,2.0
113,5.0,2.0,2.0,6.0
114,4.0,3.0,1.0,4.0
115,3.0,2.0,2.0,4.0
116,2.0,2.0,1.0,3.0
117,2.0,2.0,1.0,2.0
118,4.0,2.0,1.0,3.0
119,2.0,0.0,0.0,3.0
120,3.0,2.0,1.0,4.0
121,2.0,0.0,0.0,2.0
122,3.0,2.0,1.0,3.0
123,4.0,2.0,2.0,5.0
124,3.0,2.0,1.0,3.0
125,3.0,3.0,3.0,2.0
126,3.0,1.0,1.0,6.0
127,3.0,1.0,1.0,2.0
128,2.0,1.0,0.0,2.0
129,2.0,3.0,1.0,2.0
130,2.0,0.0,0.0,3.0
131,3.0,2.0,1.0,2.0
132,3.0,2.0,1.0,3.0
133,3.0,2.0,1.0,3.0
134,2.0,1.0,0.0,2.0
135,4.0,2.0,1.0,4.0
136,5.0,2.0,2.0,6.0
137,3.0,2.0,1.0,2.0
138,2.0,1.0,1.0,2.0
139,3.0,2.0,1.0,3.0
140,3.0,1.0,1.0,4.0
141,4.0,2.0,2.0,4.0
142,4.0,2.0,1.0,5.0
143,2.0,1.0,0.0,2.0
144,3.0,2.0,1.0,2.0
145,2.0,0.0,0.0,2.0
146,2.0,1.0,1.0,2.0
147,2.0,1.0,1.0,2.0
148,2.0,0.0,0.0,2.0
149,2.0,2.0,1.0,2.0
150,3.0,1.0,1.0,2.0
151,2.0,1.0,1.0,3.0
152,2.0,2.0,0.0,2.0
153,3.0,2.0,1.0,3.0
154,2.0,1.0,1.0,3.0
155,2.0,2.0,1.0,2.0
156,3.0,2.0,1.0,5.0
157,3.0,2.0,1.0,3.0
158,2.0,0.0,0.0,2.0
159,3.0,2.0,1.0,4.0
160,4.0,1.0,1.0,5.0
161,4.0,2.0,2.0,3.0
162,3.0,1.0,1.0,3.0
163,2.0,0.0,0.0,2.0
164,3.0,2.0,1.0,3.0
165,2.0,0.0,0.0,2.0
166,3.0,1.0,1.0,2.0
167,2.0,2.0,2.0,2.0
168,3.0,2.0,1.0,3.0
169,3.0,2.0,1.0,3.0
170,3.0,2.0,1.0,2.0
171,2.0,1.0,0.0,2.0
172,2.0,2.0,0.0,2.0
173,3.0,2.0,1.0,3.0
174,3.0,2.0,2.0,3.0
175,2.0,0.0,0.0,2.0
176,3.0,2.0,1.0,3.0
177,2.0,1.0,0.0,2.0
178,4.0,1.0,1.0,2.0
179,2.0,2.0,1.0,3.0
180,2.0,0.0,0.0,3.0
181,3.0,3.0,2.0,3.0
182,4.0,2.0,1.0,5.0
183,3.0,2.0,1.0,2.0
184,3.0,1.0,1.0,2.0
185,3.0,2.0,1.0,4.0
186,2.0,0.0,0.0,2.0
187,4.0,2.0,1.0,4.0
188,4.0,2.0,1.0,3.0
189,3.0,2.0,1.0,4.0
190,3.0,1.0,1.0,3.0
191,2.0,2.0,1.0,2.0
192,3.0,1.0,1.0,2.0
193,3.0,2.0,1.0,3.0
194,2.0,0.0,0.0,2.0
195,2.0,2.0,2.0,2.0
196,3.0,2.0,1.0,3.0
197,3.0,1.0,1.0,3.0
198,3.0,2.0,1.0,2.0
199,6.0,3.0,1.0,7.0
200,2.0,2.0,2.0,2.0
201,2.0,0.0,0.0,3.0
202,3.0,2.0,1.0,2.0
203,3.0,2.0,1.0,4.0
204,3.0,2.0,1.0,3.0
205,2.0,0.0,0.0,2.0
206,5.0,2.0,2.0,5.0
207,2.0,1.0,0.0,2.0
208,4.0,2.0,1.0,3.0
209,4.0,2.0,1.0,3.0
210,4.0,3.0,1.0,7.0
211,2.0,0.0,0.0,3.0
212,4.0,2.0,2.0,3.0
213,3.0,3.0,1.0,5.0
214,4.0,2.0,1.0,4.0
215,2.0,1.0,1.0,2.0
216,3.0,1.0,1.0,4.0
217,3.0,1.0,1.0,4.0
218,2.0,0.0,0.0,2.0
219,3.0,2.0,1.0,2.0
220,3.0,2.0,1.0,2.0
221,2.0,1.0,0.0,2.0
222,2.0,1.0,1.0,2.0
223,3.0,1.0,1.0,3.0
224,2.0,1.0,0.0,3.0
225,2.0,1.0,0.0,2.0
