,none,E1,E2,I2
0,5.0,4.0,2.0,8.0
1,11.0,2.0,15.0,17.0
2,6.0,5.0,8.0,10.0
3,10.0,4.0,13.0,15.0
4,7.0,2.0,12.0,12.0
5,5.0,2.0,13.0,11.0
6,6.0,4.0,4.0,10.0
7,5.0,4.0,3.0,11.0
8,7.0,3.0,11.0,12.0
9,8.0,4.0,14.0,13.0
10,8.0,3.0,9.0,11.0
11,7.0,3.0,13.0,11.0
12,7.0,2.0,8.0,9.0
13,6.0,2.0,10.0,12.0
14,7.0,4.0,10.0,9.0
15,7.0,5.0,11.0,11.0
16,7.0,3.0,7.0,9.0
17,8.0,2.0,12.0,13.0
18,7.0,4.0,7.0,12.0
19,3.0,3.0,6.0,8.0
20,8.0,4.0,13.0,13.0
21,4.0,3.0,2.0,8.0
22,5.0,4.0,10.0,10.0
23,8.0,2.0,13.0,12.0
24,7.0,2.0,12.0,12.0
25,7.0,2.0,6.0,10.0
26,4.0,4.0,10.0,10.0
27,5.0,3.0,7.0,10.0
28,4.0,4.0,4.0,8.0
29,4.0,4.0,8.0,9.0
30,6.0,3.0,5.0,9.0
31,10.0,3.0,14.0,14.0
32,6.0,5.0,11.0,11.0
33,6.0,4.0,11.0,10.0
34,7.0,3.0,7.0,10.0
35,5.0,2.0,12.0,11.0
36,7.0,4.0,9.0,11.0
37,8.0,4.0,14.0,13.0
38,9.0,2.0,13.0,16.0
39,7.0,3.0,11.0,9.0
40,5.0,2.0,6.0,10.0
41,8.0,1.0,11.0,12.0
42,8.0,3.0,7.0,12.0
43,8.0,2.0,11.0,12.0
44,7.0,3.0,6.0,11.0
45,10.0,3.0,12.0,13.0
46,7.0,4.0,12.0,12.0
47,5.0,5.0,9.0,9.0
48,12.0,5.0,15.0,16.0
49,6.0,4.0,9.0,10.0
50,5.0,3.0,3.0,9.0
51,7.0,3.0,13.0,11.0
52,5.0,4.0,4.0,9.0
53,7.0,3.0,6.0,10.0
54,9.0,2.0,14.0,12.0
55,6.0,5.0,7.0,10.0
56,4.0,4.0,8.0,11.0
57,5.0,3.0,10.0,12.0
58,3.0,2.0,4.0,7.0
59,8.0,4.0,12.0,12.0
60,2.0,2.0,5.0,8.0
61,9.0,2.0,13.0,12.0
62,4.0,4.0,3.0,7.0
63,4.0,1.0,8.0,9.0
64,9.0,5.0,10.0,13.0
65,9.0,4.0,11.0,13.0
66,4.0,4.0,4.0,7.0
67,7.0,4.0,7.0,10.0
68,5.0,3.0,3.0,8.0
69,9.0,4.0,13.0,13.0
70,7.0,5.0,8.0,10.0
71,8.0,3.0,12.0,13.0
72,5.0,3.0,13.0,10.0
73,6.0,3.0,3.0,9.0
74,9.0,2.0,7.0,11.0
75,4.0,4.0,6.0,8.0
76,6.0,3.0,5.0,8.0
77,7.0,4.0,13.0,13.0
78,7.0,5.0,6.0,10.0
79,5.0,2.0,7.0,8.0
80,7.0,2.0,9.0,10.0
81,3.0,3.0,7.0,9.0
82,7.0,4.0,13.0,11.0
83,7.0,3.0,13.0,11.0
84,7.0,4.0,11.0,10.0
85,4.0,3.0,4.0,7.0
86,6.0,2.0,13.0,12.0
87,5.0,2.0,11.0,12.0
88,4.0,3.0,3.0,8.0
89,7.0,4.0,6.0,10.0
90,7.0,3.0,11.0,11.0
91,7.0,4.0,6.0,10.0
92,7.0,4.0,10.0,10.0
93,7.0,5.0,15.0,12.0
94,4.0,4.0,3.0,7.0
95,6.0,4.0,13.0,12.0
96,4.0,6.0,3.0,8.0
97,10.0,2.0,13.0,14.0
98,7.0,3.0,11.0,9.0
99,7.0,4.0,14.0,14.0
100,4.0,4.0,4.0,7.0
101,9.0,2.0,13.0,13.0
102,8.0,4.0,14.0,11.0
103,6.0,4.0,10.0,11.0
104,5.0,3.0,6.0,8.0
105,6.0,3.0,12.0,12.0
106,7.0,3.0,13.0,12.0
107,7.0,4.0,13.0,12.0
108,5.0,3.0,6.0,8.0
109,6.0,2.0,10.0,8.0
110,3.0,5.0,7.0,7.0
111,3.0,3.0,4.0,6.0
112,10.0,2.0,8.0,12.0
113,6.0,4.0,12.0,10.0
114,7.0,4.0,13.0,13.0
115,5.0,4.0,5.0,7.0
116,6.0,4.0,5.0,8.0
117,6.0,3.0,14.0,16.0
118,8.0,5.0,11.0,11.0
119,6.0,1.0,8.0,10.0
120,7.0,5.0,13.0,11.0
121,7.0,2.0,13.0,10.0
122,5.0,4.0,4.0,8.0
123,7.0,1.0,8.0,10.0
124,5.0,4.0,11.0,10.0
125,6.0,4.0,7.0,11.0
126,5.0,3.0,9.0,9.0
127,4.0,4.0,9.0,9.0
128,5.0,3.0,9.0,8.0
129,4.0,2.0,2.0,8.0
130,8.0,2.0,14.0,13.0
131,6.0,2.0,10.0,9.0
132,6.0,2.0,11.0,12.0
133,5.0,5.0,5.0,8.0
134,6.0,4.0,7.0,9.0
135,9.0,4.0,12.0,13.0
136,9.0,2.0,16.0,13.0
137,6.0,2.0,8.0,8.0
138,11.0,2.0,13.0,15.0
139,4.0,3.0,3.0,6.0
140,7.0,4.0,8.0,11.0
141,8.0,4.0,11.0,13.0
142,8.0,3.0,13.0,12.0
143,6.0,4.0,12.0,10.0
144,5.0,2.0,11.0,10.0
145,5.0,4.0,8.0,10.0
146,6.0,4.0,10.0,10.0
147,9.0,2.0,6.0,11.0
148,5.0,2.0,5.0,10.0
149,6.0,3.0,15.0,12.0
150,7.0,2.0,11.0,11.0
151,8.0,2.0,14.0,14.0
152,4.0,1.0,8.0,9.0
153,5.0,3.0,5.0,10.0
154,6.0,4.0,5.0,9.0
155,8.0,4.0,14.0,13.0
156,10.0,4.0,14.0,13.0
157,4.0,4.0,10.0,8.0
158,6.0,3.0,9.0,10.0
159,8.0,4.0,13.0,14.0
160,9.0,2.0,7.0,10.0
161,8.0,3.0,15.0,13.0
162,5.0,3.0,3.0,9.0
163,7.0,2.0,6.0,10.0
164,4.0,2.0,2.0,6.0
165,3.0,3.0,1.0,7.0
166,5.0,4.0,11.0,12.0
167,4.0,2.0,3.0,7.0
168,7.0,3.0,11.0,10.0
169,5.0,3.0,6.0,8.0
170,4.0,4.0,3.0,8.0
171,5.0,4.0,11.0,9.0
172,9.0,3.0,16.0,15.0
173,5.0,2.0,5.0,8.0
174,7.0,2.0,14.0,9.0
175,7.0,2.0,7.0,10.0
176,5.0,2.0,4.0,8.0
177,9.0,4.0,12.0,13.0
178,4.0,2.0,7.0,10.0
179,7.0,2.0,13.0,10.0
180,7.0,4.0,13.0,16.0
181,8.0,3.0,13.0,11.0
182,9.0,2.0,13.0,15.0
183,11.0,5.0,13.0,15.0
184,7.0,5.0,12.0,10.0
185,4.0,4.0,5.0,7.0
186,9.0,4.0,13.0,13.0
187,7.0,5.0,14.0,13.0
188,4.0,4.0,7.0,8.0
189,7.0,1.0,8.0,10.0
