,none,E1,E2,I2,19B
0,7.0,1.0,0.0,9.0,3.0
1,7.0,1.0,1.0,9.0,3.0
2,7.0,1.0,1.0,10.0,3.0
3,8.0,1.0,1.0,13.0,5.0
4,8.0,1.0,0.0,12.0,5.0
5,8.0,1.0,1.0,11.0,6.0
6,7.0,1.0,0.0,10.0,3.0
7,7.0,1.0,0.0,10.0,4.0
8,6.0,1.0,0.0,10.0,3.0
9,9.0,1.0,1.0,13.0,5.0
10,7.0,1.0,1.0,10.0,3.0
11,8.0,1.0,1.0,11.0,6.0
12,7.0,1.0,1.0,10.0,3.0
13,8.0,1.0,0.0,11.0,4.0
14,8.0,1.0,1.0,15.0,5.0
15,8.0,1.0,0.0,10.0,3.0
16,8.0,1.0,1.0,11.0,6.0
17,7.0,1.0,1.0,11.0,4.0
18,9.0,1.0,1.0,11.0,6.0
19,7.0,1.0,1.0,11.0,6.0
20,8.0,1.0,1.0,13.0,5.0
21,9.0,1.0,1.0,21.0,7.0
22,8.0,1.0,1.0,15.0,6.0
23,7.0,1.0,1.0,9.0,4.0
24,8.0,1.0,0.0,11.0,4.0
25,8.0,1.0,1.0,13.0,6.0
26,7.0,1.0,1.0,14.0,6.0
27,7.0,1.0,1.0,10.0,5.0
28,7.0,1.0,1.0,14.0,5.0
29,8.0,1.0,0.0,14.0,5.0
30,6.0,1.0,0.0,9.0,3.0
31,8.0,1.0,0.0,16.0,6.0
32,7.0,1.0,0.0,9.0,3.0
33,7.0,1.0,0.0,9.0,3.0
34,8.0,1.0,1.0,15.0,6.0
35,6.0,1.0,1.0,9.0,4.0
36,6.0,1.0,0.0,10.0,3.0
37,9.0,1.0,1.0,17.0,7.0
38,6.0,1.0,0.0,9.0,3.0
39,6.0,0.0,0.0,11.0,3.0
40,8.0,1.0,1.0,15.0,6.0
41,8.0,1.0,1.0,12.0,5.0
42,6.0,1.0,1.0,9.0,3.0
43,8.0,1.0,1.0,13.0,6.0
44,9.0,0.0,0.0,16.0,5.0
45,6.0,1.0,1.0,9.0,3.0
46,8.0,1.0,1.0,11.0,6.0
47,7.0,1.0,0.0,9.0,5.0
48,7.0,1.0,1.0,11.0,3.0
49,6.0,1.0,1.0,9.0,4.0
50,8.0,1.0,1.0,13.0,6.0
51,7.0,1.0,1.0,9.0,5.0
52,6.0,0.0,0.0,8.0,2.0
53,8.0,1.0,1.0,12.0,6.0
54,8.0,1.0,1.0,20.0,6.0
55,8.0,1.0,0.0,10.0,4.0
56,7.0,1.0,1.0,10.0,6.0
57,8.0,1.0,0.0,10.0,5.0
58,8.0,1.0,1.0,13.0,5.0
59,8.0,1.0,1.0,15.0,6.0
60,8.0,1.0,0.0,18.0,3.0
61,9.0,1.0,1.0,17.0,6.0
62,8.0,1.0,0.0,11.0,5.0
63,8.0,1.0,1.0,11.0,5.0
64,8.0,1.0,1.0,15.0,4.0
65,8.0,1.0,1.0,16.0,6.0
66,8.0,2.0,1.0,17.0,6.0
67,8.0,1.0,1.0,12.0,4.0
68,8.0,1.0,1.0,11.0,6.0
69,9.0,0.0,0.0,16.0,6.0
70,8.0,1.0,0.0,12.0,5.0
71,6.0,1.0,0.0,10.0,3.0
72,7.0,1.0,0.0,11.0,3.0
73,8.0,1.0,1.0,16.0,6.0
74,7.0,1.0,1.0,9.0,4.0
75,7.0,0.0,0.0,11.0,5.0
76,8.0,1.0,1.0,10.0,5.0
77,7.0,1.0,1.0,14.0,3.0
78,7.0,1.0,0.0,9.0,4.0
79,7.0,1.0,0.0,12.0,2.0
80,7.0,1.0,0.0,9.0,4.0
81,7.0,1.0,1.0,9.0,3.0
82,7.0,1.0,0.0,10.0,4.0
83,8.0,1.0,1.0,19.0,6.0
84,9.0,1.0,1.0,17.0,6.0
85,8.0,1.0,1.0,12.0,5.0
86,8.0,1.0,1.0,10.0,6.0
