,none,E1,E2,I2
0,9.0,5.0,1.0,13.0
1,9.0,3.0,1.0,11.0
2,10.0,4.0,1.0,17.0
3,8.0,5.0,3.0,14.0
4,8.0,3.0,1.0,12.0
5,7.0,2.0,1.0,12.0
6,15.0,6.0,1.0,12.0
7,9.0,6.0,1.0,14.0
8,8.0,1.0,1.0,10.0
9,7.0,2.0,1.0,11.0
10,7.0,9.0,3.0,21.0
11,8.0,5.0,1.0,11.0
12,9.0,4.0,3.0,13.0
13,9.0,4.0,3.0,16.0
14,7.0,2.0,1.0,12.0
15,9.0,2.0,2.0,11.0
16,10.0,7.0,2.0,14.0
17,9.0,7.0,4.0,19.0
18,7.0,4.0,2.0,12.0
19,7.0,4.0,2.0,15.0
20,9.0,4.0,1.0,11.0
21,8.0,5.0,2.0,12.0
22,10.0,2.0,2.0,14.0
23,8.0,6.0,2.0,19.0
24,9.0,3.0,1.0,12.0
25,7.0,2.0,3.0,15.0
26,8.0,6.0,1.0,10.0
27,10.0,4.0,1.0,15.0
28,7.0,6.0,3.0,14.0
29,7.0,5.0,1.0,11.0
30,10.0,4.0,1.0,12.0
31,7.0,5.0,2.0,13.0
32,9.0,1.0,1.0,10.0
33,8.0,4.0,1.0,15.0
34,9.0,6.0,3.0,18.0
35,13.0,3.0,1.0,13.0
36,10.0,6.0,1.0,12.0
37,13.0,6.0,3.0,16.0
38,7.0,5.0,3.0,14.0
39,7.0,5.0,2.0,13.0
40,9.0,19.0,4.0,18.0
41,7.0,6.0,2.0,15.0
42,7.0,2.0,1.0,11.0
43,8.0,4.0,2.0,13.0
44,11.0,2.0,2.0,13.0
45,15.0,3.0,1.0,13.0
46,8.0,8.0,3.0,18.0
47,8.0,5.0,1.0,13.0
48,8.0,6.0,3.0,18.0
49,10.0,3.0,2.0,16.0
50,7.0,4.0,2.0,14.0
51,8.0,7.0,2.0,16.0
52,11.0,5.0,3.0,14.0
53,8.0,3.0,1.0,12.0
54,9.0,3.0,1.0,10.0
55,10.0,5.0,3.0,18.0
56,9.0,1.0,1.0,11.0
57,9.0,6.0,3.0,14.0
58,9.0,6.0,3.0,13.0
59,9.0,6.0,3.0,16.0
60,7.0,5.0,3.0,14.0
61,8.0,1.0,1.0,9.0
62,11.0,3.0,1.0,13.0
63,8.0,2.0,2.0,12.0
64,9.0,1.0,1.0,11.0
65,9.0,6.0,3.0,15.0
66,10.0,4.0,1.0,11.0
67,8.0,4.0,3.0,19.0
68,7.0,2.0,1.0,13.0
69,8.0,5.0,3.0,13.0
70,7.0,3.0,2.0,13.0
71,9.0,4.0,3.0,16.0
72,8.0,2.0,1.0,12.0
73,8.0,3.0,1.0,12.0
74,9.0,3.0,1.0,12.0
75,15.0,7.0,3.0,17.0
76,9.0,4.0,1.0,11.0
77,9.0,7.0,1.0,12.0
78,10.0,7.0,3.0,14.0
79,7.0,6.0,2.0,14.0
80,10.0,2.0,1.0,10.0
81,7.0,4.0,3.0,16.0
82,13.0,5.0,3.0,15.0
83,8.0,9.0,2.0,12.0
84,8.0,6.0,2.0,12.0
85,7.0,4.0,1.0,13.0
86,7.0,2.0,1.0,12.0
87,8.0,3.0,2.0,11.0
88,10.0,5.0,2.0,14.0
89,9.0,6.0,1.0,12.0
90,8.0,4.0,1.0,16.0
91,7.0,2.0,2.0,11.0
92,11.0,9.0,3.0,14.0
93,7.0,6.0,3.0,13.0
94,7.0,3.0,2.0,9.0
95,7.0,3.0,1.0,12.0
96,10.0,4.0,2.0,12.0
97,7.0,4.0,2.0,15.0
98,7.0,1.0,1.0,13.0
99,7.0,8.0,3.0,14.0
100,8.0,2.0,1.0,10.0
101,7.0,3.0,1.0,13.0
102,8.0,3.0,1.0,11.0
103,11.0,1.0,1.0,11.0
104,8.0,4.0,1.0,11.0
105,8.0,3.0,1.0,12.0
106,7.0,1.0,1.0,13.0
107,8.0,3.0,1.0,11.0
108,8.0,3.0,2.0,15.0
109,8.0,6.0,2.0,13.0
110,7.0,4.0,2.0,12.0
111,7.0,4.0,3.0,13.0
112,8.0,8.0,3.0,15.0
113,8.0,3.0,1.0,13.0
114,9.0,5.0,2.0,13.0
115,9.0,4.0,2.0,13.0
116,9.0,2.0,1.0,11.0
117,12.0,5.0,1.0,12.0
118,13.0,3.0,1.0,12.0
119,10.0,5.0,2.0,14.0
120,9.0,2.0,1.0,13.0
121,10.0,4.0,2.0,17.0
122,10.0,9.0,4.0,23.0
123,11.0,1.0,1.0,10.0
124,11.0,3.0,1.0,11.0
125,8.0,3.0,2.0,14.0
126,8.0,4.0,2.0,11.0
127,9.0,5.0,2.0,11.0
128,8.0,7.0,1.0,15.0
129,8.0,5.0,2.0,15.0
130,9.0,6.0,2.0,14.0
131,9.0,4.0,2.0,13.0
132,9.0,5.0,3.0,14.0
133,8.0,3.0,1.0,11.0
134,10.0,1.0,1.0,12.0
135,7.0,6.0,2.0,14.0
136,7.0,4.0,1.0,13.0
137,7.0,5.0,1.0,14.0
138,9.0,5.0,3.0,14.0
139,7.0,4.0,1.0,12.0
140,7.0,6.0,3.0,13.0
141,9.0,2.0,1.0,10.0
