,T1L,T1R,T2L,T2R,T3L,T3R,all legs
0,2,1,1,3,2,12,21
1,0,1,0,2,0,12,15
2,27,25,18,20,31,35,156
3,1,1,0,2,0,15,19
4,3,0,1,2,6,8,20
5,29,24,20,17,30,35,155
6,1,0,1,2,1,11,16
7,1,2,0,3,1,14,21
8,2,1,1,2,4,14,24
9,0,1,0,2,0,19,22
10,2,2,1,2,0,14,21
11,2,1,1,4,10,14,32
12,2,1,1,2,5,9,20
13,1,3,1,3,1,16,25
14,1,0,1,3,1,11,17
15,1,0,0,2,1,12,16
16,1,1,1,2,1,12,18
17,2,0,1,2,1,10,16
18,2,1,0,2,2,16,23
19,1,1,0,3,0,12,17
20,2,2,1,3,5,16,29
21,1,0,1,2,2,9,15
22,0,1,1,2,0,14,18
23,25,23,20,26,30,33,157
24,2,1,0,2,0,19,24
25,1,0,0,2,0,5,8
26,2,2,1,3,2,10,20
27,0,3,0,2,0,13,18
28,2,2,1,2,4,15,26
29,1,1,1,2,4,16,25
30,2,1,1,2,4,13,23
31,2,0,1,0,4,8,15
32,1,0,1,2,3,12,19
33,2,0,1,2,3,8,16
34,20,33,20,23,27,34,157
35,2,0,1,2,3,8,16
36,2,2,1,2,7,10,24
37,2,1,1,2,4,16,26
38,1,2,1,2,2,17,25
39,2,1,1,3,7,18,32
40,2,1,1,2,4,13,23
41,2,1,1,2,3,8,17
42,2,1,2,4,4,10,23
43,2,0,1,2,2,8,15
44,0,0,0,0,0,0,0
45,2,2,1,3,4,17,29
46,2,0,1,2,2,22,29
47,2,2,1,2,2,14,23
48,2,1,1,4,1,16,25
49,0,1,0,2,0,15,18
50,0,2,0,2,0,17,21
51,1,1,1,2,4,14,23
52,33,21,17,23,30,34,158
53,2,1,1,2,5,15,26
54,28,24,22,25,28,36,163
55,2,0,1,2,4,9,18
56,2,1,1,2,3,14,23
57,0,3,1,2,1,18,25
58,2,1,1,2,4,9,19
59,2,2,0,2,0,10,16
60,1,2,1,2,1,12,19
61,2,3,1,3,1,17,27
62,2,0,0,2,1,9,14
63,0,0,0,2,0,10,12
64,2,3,1,3,2,9,20
65,0,1,1,2,2,15,21
66,1,1,1,3,0,14,20
67,1,3,1,2,5,18,30
68,2,0,1,2,3,9,17
69,2,1,1,2,2,11,19
70,2,3,1,2,5,18,31
71,1,1,1,3,1,16,23
72,2,2,1,2,3,17,27
73,2,1,1,2,4,17,27
74,2,1,1,2,2,12,20
75,2,0,1,0,1,7,11
76,0,0,0,0,0,0,0
77,2,1,1,3,2,9,18
78,1,1,1,2,1,10,16
79,2,0,1,2,3,6,14
80,2,1,1,2,2,13,21
81,35,23,20,21,28,35,162
82,2,3,3,3,2,16,29
83,3,0,1,2,2,9,17
84,1,0,0,2,0,7,10
85,1,1,1,2,1,16,22
86,2,2,1,2,1,15,23
87,36,20,25,26,31,34,172
88,2,1,2,2,7,15,29
89,2,1,1,3,2,12,21
90,1,1,1,2,3,9,17
91,2,0,1,2,2,5,12
92,1,4,1,2,1,15,24
93,1,1,0,2,0,14,18
94,1,1,1,2,2,16,23
95,3,1,1,2,5,14,26
96,1,0,1,1,2,9,14
97,3,1,1,2,7,15,29
98,2,1,1,3,2,15,24
99,2,1,1,2,2,13,21
100,2,0,0,0,0,8,10
101,2,3,2,2,2,17,28
102,2,0,1,2,4,15,24
103,1,0,1,2,2,14,20
104,34,22,19,23,29,34,161
105,3,1,1,2,2,13,22
106,1,1,1,2,0,14,19
107,0,1,0,2,1,11,15
108,2,2,1,2,2,12,21
109,2,1,1,2,3,10,19
110,2,1,1,2,3,10,19
111,2,1,1,2,4,17,27
112,0,0,0,0,0,0,0
113,1,1,1,2,3,14,22
114,1,1,1,2,1,11,17
115,0,0,1,0,0,12,13
116,2,0,1,2,3,7,15
117,46,23,28,26,34,36,193
118,1,1,1,2,4,12,21
119,2,1,0,3,0,9,15
120,0,0,0,0,0,0,0
121,2,0,0,0,0,8,10
122,2,1,3,3,7,15,31
123,2,0,1,1,2,13,19
124,0,3,0,2,0,15,20
125,2,1,1,2,3,13,22
126,2,1,1,4,2,15,25
127,2,1,1,2,0,10,16
