,T1L,T1R,T2L,T2R,T3L,T3R,all legs
0,0.560301,0.998913,0.8365,0.789117,0.29124948,0.82481736,0.7489428
1,0.0,0.794706,0.0,0.97903,0.0,0.8711007,0.8818288
2,0.14471282,0.30422372,0.24528994,0.28093848,0.27124006,0.07886452,0.20971492
3,0.994458,0.946126,0.0,0.71367455,0.0,0.6214548,0.67658687
4,0.99733996,0.0,0.290541,0.9950965,0.23460452,0.8796412,0.6447581
5,0.117484555,0.043366086,0.0832405,0.2817292,0.21150997,0.031909678,0.11797742
6,0.99759,0.0,0.810464,0.9997655,0.0,0.9318816,0.8710372
7,0.545794,0.995826,0.0,0.957523,0.46813,0.690131,0.731175
8,0.9803225,0.888876,0.755178,1.0,0.80275697,0.7525182,0.81117934
9,0.0,0.999282,0.0,0.6032895,0.0,0.77577513,0.76863015
10,0.47682,0.8317135,0.0,0.9692545,0.0,0.84081405,0.7743079
11,0.969869,0.191148,0.646055,0.56886834,0.20636259,0.39515218,0.3896549
12,0.9926135,0.857243,0.984387,0.907014,0.2266115,0.6884774,0.6697306
13,0.918498,0.83835804,0.999481,0.63053036,0.99733,0.8606805,0.8404829
14,0.993572,0.0,0.818411,0.39168102,0.250205,0.7193279,0.6656787
15,0.891949,0.0,0.0,0.957566,0.0,0.72344756,0.7689289
16,0.995648,0.998846,0.135482,0.93785155,0.516771,0.6898081,0.7111193
17,0.9164375,0.0,0.745694,0.613055,0.655471,0.46640578,0.5771868
18,0.61782396,0.0,0.0,0.9840075,0.31400698,0.5093659,0.54814
19,0.982346,0.954419,0.0,0.6618787,0.0,0.7676133,0.7725741
20,0.877463,0.947649,0.608702,0.9860935,0.3387958,0.6208502,0.6398457
21,0.84628,0.0,0.0,0.9894045,0.1373535,0.78803706,0.66277355
22,0.0,0.838277,0.99925,0.9924785,0.0,0.7577211,0.8104945
23,0.26627955,0.10502992,0.0506935,0.108576365,0.1297535,0.043183457,0.115968235
24,0.50004,0.504588,0.0,0.951228,0.0,0.8184687,0.78040093
25,0.987379,0.0,0.0,0.964279,0.0,0.997069,0.9876602
26,0.98172903,0.791625,0.975432,0.85964936,0.312646,0.8161023,0.7932264
27,0.0,0.8052844,0.0,0.8760195,0.0,0.42294335,0.5370086
28,0.99721503,0.9975735,0.963541,0.9974425,0.46165076,0.7592754,0.77697843
29,0.925157,0.99889,0.741165,0.99731696,0.36284673,0.85286427,0.774637
30,0.845029,0.976018,0.292284,0.966281,0.25539625,0.585824,0.5884082
31,0.9979325,0.0,0.722005,0.0,0.18047826,0.97249,0.71344024
32,0.95891297,0.0,0.263437,0.99802,0.41238534,0.86313885,0.75737715
33,0.9985685,0.0,0.254193,0.7839285,0.49032435,0.7655136,0.70991707
34,0.29474044,0.014851423,0.06581595,0.16277805,0.1369762,0.060166363,0.10980108
